pair,mech,recent_default,hist_default,recent_step5,hist_step5,recent_step15,hist_step15,recent_bd20_80,hist_bd20_80,recent_bd35_65,hist_bd35_65,recent_static,hist_static
sp500-2m/same_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,A,1.1614103930417292,0.31973728052317674,1.0680325661458365,0.2763320679816828,1.2004338326261272,0.3850918364498019,1.1255296669694794,0.242869704245014,1.1858214042648165,0.4012656372263407,0.9246740385798856,0.40277387571871315
sp500-2m/same_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,B,1.136312757278191,0.2914371988766398,1.021522659126466,0.23797100357933137,1.1867340494965242,0.35945890369817834,1.1069321407739283,0.2180322956672128,1.1416558290909755,0.36812050360207865,0.8977044030170402,0.3468819402613317
core-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,A,1.275360898495416,0.32003931978824907,1.2921047349226527,0.3417446016914767,1.2689932033356028,0.28233376793201465,1.28460012817545,0.3625412147848985,1.2680233536506966,0.2970872999833749,1.3332361531783627,0.33211973397738653
core-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,B,1.2059529330276149,0.24429447933469647,1.2087670960991896,0.2644882259706583,1.2099087963762918,0.20870015595605654,1.2219199984244087,0.2779411531453384,1.1834380130456932,0.2367529349860218,1.1343387684939426,0.2716432318193227
sp500-12m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,A,1.2835577882136315,0.2888668599842649,1.2651342460597599,0.3000879401608458,1.2954580199198635,0.26598092732438855,1.2931901343283774,0.27503610907394066,1.275745938361606,0.30855201892261086,1.4252583569555424,0.3954609549225096
sp500-12m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,B,1.194814222559125,0.23344212339307185,1.1638647050341846,0.2462357023103204,1.215536075292408,0.2066300705802649,1.2044122530287071,0.22090883761288427,1.182218733508876,0.2503333662017247,1.2420817530993509,0.3398626059187076
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,A,0.8257055440340011,1.1388109709584442,0.7823268279245527,1.1097562871276572,0.8630162914761467,1.1383342222878619,0.82895253476734,1.174416632515545,0.8077535443965431,1.0468965550708553,1.325685322502297,0.9216318496383412
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,B,0.817351770015847,1.0935064346075734,0.7530863949923251,1.063211002854653,0.8661801179080754,1.095637204946688,0.8237895733266003,1.1281183803070391,0.7846779677383353,1.0054116370992672,1.1166480772647291,0.8998246289718479
core-2m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,A,1.224378742455552,0.4111728942290201,1.2570667388198091,0.3313038110258692,1.3171193665848229,0.3812151758600799,1.1558776159045319,0.46364557302459747,1.4068848770360423,0.26562788961078254,1.4583471570076996,0.26517663838109556
core-2m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,B,1.1895813009933887,0.3513674775877578,1.2001924075417734,0.2704529077342064,1.2892101942373684,0.32294037078005655,1.1262216520232957,0.3991782357052804,1.354068543838754,0.21736689841506643,1.339848599969295,-0.6906310180682097
