pair,window,mech,alpha_ann,alpha_tstat,alpha_pval,rsquared,adj_rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide3m_bd7,recent,A,0.026382403757730075,0.35956302058366674,0.7191739417346565,0.0990164496853958,0.08939055705382959,474,0.00010469207840369077,0.7191739417346565,0.09360087549798786,0.21592363852956875,-0.022058683673961507,0.7494862816886069,-0.04776894339372515,0.42181078209308687,-0.033661590739488476,0.5806471246521872,0.20486168098975102,0.0014577872733056853
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide3m_bd7,recent,B,0.025412574635142463,0.3474654192977298,0.7282416934478033,0.0983461197580392,0.0887130654819499,474,0.00010084355013945422,0.7282416934478033,0.09402573889819417,0.21423186333648803,-0.024188309647601113,0.7265415428489568,-0.04826303912340953,0.4171223623649498,-0.0370184712753733,0.541764792011163,0.20210346628513629,0.0016012845062699462
sp500-2m/cross_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,A,0.035545328205374434,0.9301526377928927,0.3522920601892776,0.017411763404363456,0.013481410457980902,1256,0.0001410528897038668,0.3522920601892776,0.05759307815452723,0.03571155448765509,-0.056106855501969644,0.13026009271695554,-0.015789465281047476,0.6915588981208585,0.019839601719284686,0.5154302228102003,0.05761511898051464,0.1685655799001342
sp500-2m/cross_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,B,0.03365953795027277,0.8716248625805317,0.38341306263016384,0.0179252593353314,0.013996960372672729,1256,0.00013356959504076497,0.38341306263016384,0.05720362330864524,0.037649151514409375,-0.0571534976704402,0.12643481465128845,-0.014820274215589348,0.7092991760477075,0.023179871713702463,0.4508687835250019,0.061059412984848696,0.14582149673092873
sp500-2m/cross_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,A,-0.07986412625617591,-1.2425474683487556,0.21403463806897982,0.16758518720244453,0.1589680566351821,489,-0.000316921135937206,0.21403463806897982,0.23530876788354144,0.007780457522444572,-0.13279375083337835,0.07153098595958873,0.017630259054869365,0.7475758111156341,-0.03877785143071641,0.5474974074017507,0.1557729505986075,0.017921359403960616
sp500-2m/cross_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,B,-0.07140890099221728,-1.1067524530922566,0.2684009703268294,0.16943492180189434,0.1608369396259305,489,-0.00028336865473102096,0.2684009703268294,0.235331770731157,0.007147731466611235,-0.1329069124980494,0.07010932189803516,0.012396416455215756,0.820739399534457,-0.04050644875078139,0.5269463679929816,0.1594716390093185,0.014864034251132096
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,A,0.0038979403677158655,0.13140929386013633,0.8954515369820393,0.048524658035135504,0.044718756667276094,1256,1.5468017332205815e-05,0.8954515369820393,0.08182882940838945,2.5598014748990692e-06,-0.032634411331697546,0.2738105114463084,-0.006841494719928879,0.8301575314538046,-0.0011721695071460238,0.9518429008690594,0.08370871127457405,0.007877856762481846
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,B,0.0028644297676427987,0.09671362048345436,0.9229538229577159,0.049124728312790134,0.04532122722604126,1256,1.1366784792233328e-05,0.9229538229577159,0.0815271575528949,2.4974403368536824e-06,-0.03248804437546076,0.2741297180409127,-0.006239998610739185,0.8432384572176962,0.0007643302707669919,0.968518205247858,0.0854270103641223,0.00658594696218916
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,A,0.08286253770297433,1.2581711977325722,0.20832984894370254,0.08317939461872048,0.07389983383550924,500,0.00032881959405942193,0.20832984894370254,0.13871729410816222,0.053768789684275294,-0.042846584816696794,0.5118064065070927,0.012656065735586915,0.7692321870459885,-0.01879763113574203,0.7077613448055898,0.11349962207818418,0.041598108728845715
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,B,0.08979699351873437,1.3786108127975294,0.16801478092610933,0.08914474031608643,0.07992555752576347,500,0.0003563372758679935,0.16801478092610933,0.1409975744360479,0.047753517430311934,-0.042127537265697304,0.5151017968109256,0.007199845803194584,0.8661469342079983,-0.02052759082030299,0.6780746233307454,0.11417836895826383,0.03779818330733821
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,historical,A,0.014240090708571306,0.36862258256836117,0.7124090607434472,0.06347892498796315,0.05970567327558585,1247,5.650829646258455e-05,0.7124090607434472,0.10206980499292127,0.00011402995499925448,-0.05610197922075306,0.09302434668841801,-0.006242726028616324,0.8538121201240739,0.022772446153368105,0.3632967139953448,0.14205260448557736,0.0001308862596940906
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,historical,B,0.017070315743410083,0.44877371737545135,0.6535949002657007,0.06558615723315553,0.061821395578172234,1247,6.773934818813525e-05,0.6535949002657007,0.10277380456271833,9.386578786006046e-05,-0.05742959088676825,0.08250841711628883,-0.00683969965471066,0.8391032377218041,0.02032313027047186,0.4178405203650747,0.14249951267735309,0.0001361044395307024
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,recent,A,0.058783387611422454,0.8445398867893048,0.39836778430829733,0.13395094240092642,0.1250774889419194,494,0.0002332674111564383,0.39836778430829733,0.1432625933197068,0.16728747166318103,-0.08225256878577077,0.36774906690618603,-0.11795599049260112,0.04714547427956402,-0.041190064583515394,0.5751875501769979,0.22470555204083384,0.002321585280577821
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,recent,B,0.06426856638724747,0.8992601002472506,0.3685141346098273,0.12940480655153097,0.12048477383177203,494,0.0002550339936001884,0.3685141346098273,0.14688588349885925,0.14969871441722782,-0.0907567657633601,0.3205603534652264,-0.1113223383887459,0.060482117152883694,-0.04984002009997422,0.4944228945337815,0.2230802788010604,0.002425509543777432
sp500-2m/same_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,A,-0.00586845399567606,-0.2357048778644264,0.8136616845432383,0.05801245452186088,0.05424148756638403,1255,-2.3287515855857382e-05,0.8136616845432383,0.0637580040097362,4.85529342284401e-06,-0.02078801571828253,0.4240202704323679,0.000332526976863959,0.9888855055563925,0.009242009453986575,0.569153886248039,0.09096430636032524,0.001921030066091231
sp500-2m/same_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,B,-0.0075166796972960075,-0.30025251896175276,0.7639845476094397,0.058147042604147714,0.05437661443202668,1255,-2.982809403688892e-05,0.7639845476094397,0.06379336948597782,4.498798563800967e-06,-0.020579678583803614,0.4286012998562666,0.0005951539645444693,0.980102227345188,0.010576375333529602,0.5161367562296657,0.09160355968063096,0.0017649054578567365
sp500-2m/same_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,A,0.033247412157670575,0.7447270627447072,0.4564367354386957,0.1218175973817388,0.11292911152527874,500,0.00013193417522885148,0.4564367354386957,0.12928349621438853,0.03765887018487036,-0.034030162248674126,0.5477377840504487,0.007589036162979302,0.8297498010362174,-0.03331390175592547,0.4488769782385732,0.10755750889514068,0.02049082061390963
sp500-2m/same_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,B,0.03942201994506941,0.8842653133989941,0.3765530081275973,0.12801671549904425,0.11919097375308318,500,0.00015643658708360876,0.3765530081275973,0.1304772408719761,0.03310897128625264,-0.03437623188098437,0.5399236208707534,0.0023629877146398096,0.9457181002482238,-0.03607799612659193,0.40575987963278215,0.10985668352469993,0.016775207120578926
core-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,A,-0.006014961128459077,-0.2873494883453056,0.773844733382989,0.045982158235508996,0.042150761280631444,1251,-2.38688933669011e-05,0.773844733382989,0.04319372509558001,0.0004140894365294052,-0.028124652257738404,0.16308083380052307,-0.01468557199052531,0.4690443820190152,0.008977952824378212,0.5399384312288044,0.07439620449832964,0.0012479899986714657
core-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,B,-0.009785581549744992,-0.46199613410940915,0.6440840927550449,0.04634494691838931,0.04251500694617394,1251,-3.883167281644838e-05,0.6440840927550449,0.043525145018396674,0.00039035920428051986,-0.02787969253636799,0.16561652951596195,-0.015253996715486376,0.45261354762307326,0.011092729009414527,0.4538867153830046,0.07466338875528797,0.0011777910775458234
core-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,A,-0.006248794092984451,-0.14332498823559575,0.8860335218026331,0.14885270248579707,0.13998658480335735,486,-2.4796801956287504e-05,0.8860335218026331,0.14501259688597096,0.012636834666385375,-0.04366415541746504,0.3772294410322331,-0.012566031728341955,0.7043067438956419,-0.03414151561918238,0.4209034505541662,0.08370981631144529,0.06689271251604863
core-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,B,0.0004254402404514316,0.009772781335954281,0.9922025727746157,0.15737709814039047,0.1485997762460195,486,1.6882549224263159e-06,0.9922025727746157,0.14666424512635015,0.010696344044691008,-0.04379517388436681,0.3714158837287026,-0.01811353502034366,0.5780839831696529,-0.03792716711034779,0.36629556397614016,0.08693061231234166,0.05495711632226247
sp500-12m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,A,-0.0005372825332603414,-0.01511328428669299,0.9879418028445763,0.033400998086682177,0.029515953866773414,1250,-2.1320735446838945e-06,0.9879418028445763,0.07601873101684976,0.00131308405396785,-0.02694205580894716,0.46639877623545667,0.02670459157810391,0.5742344591711619,-0.0003234564877985945,0.9877365904175495,0.08803954209643888,0.038882113366284395
sp500-12m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,B,-0.005124398083430598,-0.1421986935019488,0.8869230637383072,0.03326362525160864,0.029378028890079788,1250,-2.03349130294865e-05,0.8869230637383072,0.07694891365341044,0.0011859865556822706,-0.026962497823337154,0.46653696785902965,0.027417588178908606,0.5645914323715633,0.001925145793445451,0.9282677761794255,0.08839825926634903,0.03842243351219833
sp500-12m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,A,-0.014846275040255173,-0.22529678176288845,0.8217484031019588,0.119539918657396,0.11036845947674379,486,-5.8913789842282436e-05,0.8217484031019588,0.177574232970511,0.012809578030624408,-0.027468070253490802,0.6779119994394354,0.0009397197361923382,0.9856532513546827,-0.03600404475854594,0.5111262896420539,0.1406001115455267,0.04334484836319273
sp500-12m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,B,-0.008638466298635426,-0.1288787057207612,0.8974536265048567,0.12276012081705334,0.11362220540889756,486,-3.42796281691882e-05,0.8974536265048567,0.17836143001947669,0.011120587233546702,-0.02832728523377604,0.6661896159741973,-0.00669449154481517,0.8977365157411998,-0.04164803415591959,0.44102353380738535,0.14571158042824595,0.03450260222228932
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,A,0.057092640837681057,1.7895622518147178,0.07352431146701173,0.02830656847394175,0.024416682839329962,1255,0.0002265580985622264,0.07352431146701173,0.03996131061609853,0.20932806484733457,-0.059192320300929954,0.18476135836209517,-0.03642784481699245,0.14935613256641755,0.014353225526154893,0.5701989989610188,0.08387031466200527,0.025777081384338693
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,B,0.05374368714434412,1.6805710057070342,0.09284627154179394,0.028726773806954875,0.024838570339408728,1255,0.00021326859977914333,0.09284627154179394,0.039523015566488,0.21536055488061012,-0.057829178057605575,0.19531739776643875,-0.036205651052475814,0.15132083385374992,0.016381130191252154,0.5176059710103649,0.08538281808315006,0.023226156173230032
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,A,-0.05045006946398741,-1.0573942901306377,0.2903316763478,0.18816883631673376,0.17972984293125283,487,-0.00020019868834915638,0.2903316763478,0.19289633965232594,0.016301549172567428,-0.12564836454310635,0.0635290870742572,-0.04262806923689114,0.3250754880250838,-0.05194539562937739,0.35748982638089466,0.11644018682553336,0.047426035699902905
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,B,-0.042736852085587064,-0.892676157944691,0.372030621845705,0.1938379456964594,0.18545788276191122,487,-0.00016959068287931376,0.372030621845705,0.19364888688205464,0.014717353971138849,-0.12615878071171718,0.060817009459305904,-0.04782817121171889,0.26475078237990135,-0.05412266326739635,0.3337003405143617,0.11993521167300683,0.03984442336285079
core-2m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,A,-0.0013962327401417923,-0.059384677859723026,0.9526457168172112,0.056626050780365644,0.052849533769878776,1255,-5.540606111673779e-06,0.9526457168172112,0.06413727348298001,0.0004858032479188689,-0.036251858357239736,0.1355677416330828,-0.005938862094276139,0.7774668668476803,0.01742839179784273,0.2973934541712471,0.07888655407045658,0.003586061139145535
core-2m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,historical,B,-0.004538062963636033,-0.18841723233254526,0.8505495921688251,0.056307963182078535,0.05253017280250327,1255,-1.8008186363635052e-05,0.8505495921688251,0.06461486074145568,0.0004962511828456544,-0.03621320382198224,0.13784065323814504,-0.004339238336018655,0.8375587254406346,0.021723729381061985,0.21602433619868833,0.08076936913917579,0.0031298072187144975
core-2m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,A,-0.014512616374562701,-0.37033898786944286,0.7111299275209084,0.1662924767063838,0.15781983927453802,498,-5.7589747518105955e-05,0.7111299275209084,0.1528446533414774,0.009597216266871936,-0.04787263830512629,0.3579031556540191,-0.01596064739648397,0.645634963086813,-0.04767809063730825,0.2591333136548106,0.0956720939106458,0.037609594985374535
core-2m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,recent,B,-0.012670283473337254,-0.317396015784286,0.7509431299979975,0.16895262784117882,0.16050702446558096,498,-5.027890267197323e-05,0.7509431299979975,0.152891412686909,0.00867914122783004,-0.0489552153492809,0.34402630288771674,-0.025589560202575322,0.46867624889179416,-0.05280001772813255,0.20693665918331416,0.09699495123124698,0.033552609137958295
