A,B,mech,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries,score,recent_rank,hist_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
sp500-2m/cross_sector_slide1m_bd7,core-12m/same_sector_slide3m_noscreen,B,-0.05238104249109783,-0.0046095331400356045,0.0567040636840722,-0.07807970666135873,0.1343404094887906,0.005275749500861959,0.04754151194182367,-0.10731040980546813,0.08439502741829481,0.0029300493509317295,0,-0.05238104249109783,461,174,317.5,242,371,286
sp500-2m/cross_sector_slide1m_bd7,core-12m/same_sector_slide3m_bd7,B,-0.1600952587103772,-0.011419885445100175,0.051001106466686055,-0.07426493820383448,0.3637239803665235,0.013809348414669076,0.03988846456756229,-0.07084424111228438,0.2003506726800484,0.007469927356271677,0,-0.1600952587103772,474,85,279.5,291,308,220
sp500-2m/cross_sector_slide1m_bd7,core-12m/same_sector_slide1m_noscreen,B,-0.18586264576573897,-0.010559157298814292,0.04943051820676963,-0.06524964247393694,0.3593169520265326,0.014581421463303323,0.042826531621757945,-0.05183802411968941,0.20995133081135436,0.008381206481829473,0,-0.18586264576573897,476,87,281.5,304,310,216
sp500-2m/cross_sector_slide1m_bd7,core-12m/same_sector_slide1m_bd7,B,-0.6372882966432414,-0.02465251973522562,0.038262595605534834,-0.07902446466124421,0.22927522878005233,0.007761721154267542,0.03664415082829673,-0.07682153393896485,0.010491300524462599,-0.0002973451737910748,0,-0.6372882966432414,494,134,314.0,458,361,331
sp500-2m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide3m_noscreen,B,0.36911798533407625,0.046500253990535236,0.11214527231789288,-0.1300716701843933,-0.5585542624566563,-0.036477618567780645,0.0629797338547816,-0.25199115984273723,-0.18687124685521198,-0.01616283237609073,0,-0.5585542624566563,339,446,392.5,443,435,424
sp500-2m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide3m_bd7,B,0.18097606414337603,0.011163618198552161,0.07464667901575542,-0.08989673178145167,0.34889603777507805,0.016975200097291365,0.05212678936926308,-0.07827320591536979,0.28931816373428143,0.015360931560143998,0,0.18097606414337603,411,93,252.0,120,257,174
sp500-2m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide1m_noscreen,B,0.6604288790719834,0.06087575504982197,0.09633930506222255,-0.09503619161713409,0.2404089982968593,0.011779728713668058,0.05497421506286473,-0.08381557660765981,0.3838745328026731,0.02407508223294621,0,0.2404089982968593,209,130,169.5,101,125,127
sp500-2m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide1m_bd7,B,0.30341058344483024,0.01968793703082907,0.07137264186452062,-0.07739655460677078,0.32806477065850964,0.013683542277899141,0.04441877356356807,-0.06983809015270626,0.3104938753717327,0.015076792708909447,0,0.30341058344483024,368,100,234.0,73,217,160
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_noscreen,B,0.5851084449141356,0.07524690958922313,0.1243203144843401,-0.10232180205118561,0.6421205913219107,0.048556936423287844,0.0786465853530716,-0.14250404983820808,0.6176904491277374,0.0552130063771525,0,0.5851084449141356,239,28,133.5,12,74,25
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,B,0.24351688465127255,0.01602494386504578,0.08424432044450773,-0.09404691815824381,0.7250972952162706,0.03873147925406739,0.05444881480716766,-0.057339031997891365,0.5453963203178959,0.0329820474568848,0,0.24351688465127255,388,18,203.0,99,171,44
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_noscreen,B,0.82141461512622,0.08015146715317907,0.0994223391763079,-0.07427743254081895,0.5177685815000728,0.02957044673626852,0.05972522754609558,-0.08011094537381847,0.6133681443606136,0.042698372998463754,0,0.5177685815000728,140,43,91.5,16,32,28
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_bd7,B,0.35118098036104184,0.02290741487025145,0.07231373399518291,-0.08456100735534626,0.7194136324454125,0.03393034576844145,0.047981538093130174,-0.055763842281016274,0.5790015922464062,0.031036484688210075,0,0.35118098036104184,345,19,182.0,58,146,36
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_noscreen,B,0.9596213945029631,0.0969429646400087,0.10324935427698695,-0.07384106083548445,-0.10315229761536751,-0.013772069585394009,0.0925358877680883,-0.2216495221701541,0.18538903477446836,0.013239133709701178,0,-0.10315229761536751,77,284,180.5,266,143,228
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_bd7,B,0.8721019315182883,0.052070524970076845,0.07613546370742572,-0.057994702801436926,0.2804526263258585,0.019889407817359706,0.08335936970579204,-0.19664983312811302,0.38139664345246554,0.027615319938965266,0,0.2804526263258585,120,112,116.0,82,59,128
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/cross_sector_slide1m_noscreen,B,1.3564520159617375,0.11639136838312232,0.08366196956598937,-0.04954439012169305,0.5117086008123546,0.030254444220955357,0.062015174617432604,-0.12866301894417254,0.7774988475459539,0.052154379385140406,0,0.5117086008123546,8,45,26.5,17,2,6
sp500-2m/cross_sector_slide1m_bd7,sp500-12m/cross_sector_slide1m_bd7,B,0.5362338220546562,0.03181463409202636,0.06927348794675481,-0.05722901311142301,0.5966833504437312,0.02894516488993526,0.049921397608077574,-0.10391813017740859,0.5611529886389038,0.02967977053055444,0,0.5362338220546562,261,34,147.5,15,95,42
core-12m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_bd7,B,0.4283525502703522,0.023157587314995176,0.07584725632572559,-0.054783645753998675,-0.8732341568095116,-0.04585901480701671,0.052195084561966705,-0.14635510997443257,-0.5916377477283673,-0.03507563466619836,0,-0.8732341568095116,314,484,399.0,483,446,495
core-12m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_noscreen,B,0.3160169508938431,0.01710265548296106,0.06010940888338756,-0.05484261898359251,-0.8076787386645053,-0.03650394985511762,0.04479750521397961,-0.1958538987598576,-0.5458221535457647,-0.02696308335926121,0,-0.8076787386645053,364,478,421.0,477,471,492
core-12m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_bd7,B,0.07475885359939625,0.0013890551750212587,0.05348726995491633,-0.04686522002327929,-0.36808700292727115,-0.014768558225780937,0.03841836864975814,-0.09711867206363178,-0.2657535788411292,-0.011834406207893888,0,-0.36808700292727115,444,402,423.0,390,474,450
core-12m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_noscreen,B,0.5250009424613136,0.05793783468070508,0.11499712757343616,-0.12782859690786572,-1.1489971017660086,-0.08772362741318007,0.0772901146151718,-0.37568081393799757,-0.6031327752424148,-0.05490623601907916,0,-1.1489971017660086,269,496,382.5,496,429,496
core-12m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_bd7,B,0.35866496898940425,0.021621447716620622,0.07153864587105047,-0.08273552370754189,-0.7301145201054974,-0.04159427405227989,0.05603553050777498,-0.1965070919896842,-0.43737141130030266,-0.027620999177245698,0,-0.7301145201054974,343,469,406.0,467,457,484
core-12m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_noscreen,B,0.520577348385089,0.04541435543317851,0.09437824855953857,-0.09676607946495093,-0.7978500768437341,-0.049089185384072476,0.060761010416692636,-0.24862315336429508,-0.33661710915790893,-0.026077305608864232,0,-0.7978500768437341,271,476,373.5,475,420,471
core-12m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_bd7,B,0.32853400649455444,0.021517673426162197,0.07073633030530006,-0.07800360368340578,-0.1237055317984314,-0.006956532205191102,0.04733229790099442,-0.11569019859420548,0.020780140389773223,-0.0002951478744624314,0,-0.1237055317984314,354,295,324.5,276,383,325
core-12m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_noscreen,B,0.6257244621304825,0.06255965305382143,0.10929416230571902,-0.10034062466935989,0.18320922290082267,0.012448427704611964,0.08927527948121891,-0.16951821914796728,0.31211192680546734,0.02525650220976443,0,0.18320922290082267,222,149,185.5,118,150,159
core-12m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_bd7,B,0.46897258818622356,0.036003649234124094,0.0734817209782945,-0.0634333935160277,0.14098997529990925,0.006925046844615812,0.06305704367956144,-0.117410543816022,0.24284191744433514,0.01421176957079311,0,0.14098997529990925,298,172,235.0,143,221,197
core-12m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_noscreen,B,0.9851258167665875,0.0910717249463238,0.09392126045718967,-0.057432474760188465,-0.03447218681845106,-0.0038261167289848075,0.059622445567238724,-0.09431120310806418,0.32208721465417817,0.020461662369830026,0,-0.03447218681845106,69,257,163.0,236,116,154
core-12m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_bd7,B,0.5163408421538224,0.031071299715277022,0.06412721160698263,-0.06530749592364922,0.22549240168735019,0.010700384002850338,0.05358655512963653,-0.08322107056566208,0.30694342264436625,0.015856678213360186,0,0.22549240168735019,275,135,205.0,104,172,162
core-12m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,B,1.271380635007572,0.1259521119647926,0.09803275556106995,-0.0690913195981812,-0.47057574137606617,-0.059841852759911385,0.11628062447077409,-0.3809846206324957,-0.09290109887883681,-0.016653981816695286,0,-0.47057574137606617,18,430,224.0,422,198,375
core-12m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_bd7,B,1.025489604884295,0.07728210892025603,0.08788829187846045,-0.07711221426198603,0.05456469871196344,0.0005573155356783932,0.09200846404288965,-0.2725904829245349,0.22363208947078592,0.015831083056619843,0,0.05456469871196344,60,213,136.5,187,79,204
core-12m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,B,1.380587371509378,0.10685157954804318,0.07335235193421485,-0.061518693843892615,0.07132311482400625,0.0025328972529310434,0.07036491977963119,-0.18415330653912876,0.4266970171390372,0.02847574408987925,0,0.07132311482400625,6,201,103.5,175,48,102
core-12m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide1m_bd7,B,0.7727084950230648,0.04644267513966445,0.06501177805977562,-0.05845774418735268,-0.010660664354905588,-0.0020185522486656504,0.05362931689533043,-0.1758970068590453,0.194157542214091,0.009273321453176164,0,-0.010660664354905588,158,245,201.5,220,169,223
core-12m/same_sector_slide3m_bd7,core-12m/same_sector_slide1m_noscreen,B,0.262355553438899,0.008794757557023858,0.04170237195656918,-0.034332339795039246,-0.46096424604801195,-0.015655420514186114,0.03304536515528925,-0.10420663384602225,-0.3097336785519589,-0.011380612728693196,0,-0.46096424604801195,379,427,403.0,417,453,461
core-12m/same_sector_slide3m_bd7,core-12m/same_sector_slide1m_bd7,B,0.14913544654925098,5.065405722692873e-05,0.04322088971167938,-0.031020265148886096,-0.11266350156825433,-0.003916389755380556,0.030661282931305982,-0.04271865374150374,-0.08225624899820239,-0.0035843785085157174,0,-0.11266350156825433,429,288,358.5,270,410,367
core-12m/same_sector_slide3m_bd7,core-12m/cross_sector_slide3m_noscreen,B,0.5834498602339447,0.06803757732032376,0.11554127775318775,-0.11735068659118866,-0.8292598565125427,-0.04819542033325741,0.05756124033394496,-0.22512835902931683,-0.2640064848689788,-0.02154206623162198,0,-0.8292598565125427,241,480,360.5,479,413,448
core-12m/same_sector_slide3m_bd7,core-12m/cross_sector_slide3m_bd7,B,0.25230975429074864,0.01174317355989507,0.07759219645799591,-0.08210482947748447,-0.8061192102409289,-0.040098943081259275,0.04925800334857803,-0.1329062098191529,-0.47882584215607527,-0.028843378589934576,0,-0.8061192102409289,384,477,430.5,476,479,487
core-12m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_noscreen,B,0.5058467815675581,0.04242723530923265,0.0854188767784238,-0.08980515965395142,-0.5597557016006209,-0.02649821081824688,0.046079191814317196,-0.1323985613214298,-0.14048267653706906,-0.009675061660656948,0,-0.5597557016006209,280,447,363.5,444,415,400
core-12m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_bd7,B,0.5312156898841904,0.031457048810433805,0.06347913839258755,-0.06483617179496633,-0.27337820890688264,-0.009943177761804534,0.03439013446193909,-0.05900799220368147,0.018433982665614315,-0.00018502613768665022,0,-0.27337820890688264,265,357,311.0,342,354,326
core-12m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_noscreen,B,0.71042372677566,0.07214613327051726,0.09589478119502585,-0.08318283512652139,0.1631418882148882,0.009815164084079342,0.07895579543571887,-0.1432023390951439,0.33552615425680704,0.025542257566036987,0,0.1631418882148882,186,163,174.5,134,133,146
core-12m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_bd7,B,0.5379393771727801,0.037963892247485684,0.06656461352505808,-0.05847512909160017,0.04950517139625753,0.001158548030340656,0.06047216512746845,-0.12185794796177118,0.1873130908925578,0.010210060882420092,0,0.04950517139625753,259,218,238.5,192,229,226
core-12m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_noscreen,B,1.1071516900118887,0.10436436892612218,0.09295124908471733,-0.05025523470478277,0.00630300455978064,-0.0012818467348377771,0.05732463647282214,-0.08410125662077172,0.39999219565593297,0.025715318911756803,0,0.00630300455978064,47,236,141.5,211,86,118
core-12m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_bd7,B,0.4594548641408629,0.026698275054185937,0.05844124404125294,-0.05656372785123187,0.03531506568198122,0.0005786864035246531,0.044654936824298365,-0.07956045715336701,0.16786526679509134,0.007253633884794208,0,0.03531506568198122,302,222,262.0,197,279,235
core-12m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_noscreen,B,1.2263331543185543,0.12946297831815948,0.10589637089989698,-0.07849072716893823,-0.3585814850456087,-0.04621582379300826,0.11341113076670635,-0.33721192304797887,0.01197752810963186,-0.004735198841200239,0,-0.3585814850456087,25,396,210.5,384,180,330
core-12m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_bd7,B,1.1867258476667182,0.10043766855737504,0.08877252489711922,-0.07051668407081321,0.2114870477881127,0.01484826860254218,0.0900588729364952,-0.2043959790215537,0.39538616160222806,0.03172867821563674,0,0.2114870477881127,30,139,84.5,109,29,120
core-12m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide1m_noscreen,B,1.3551109796984369,0.10121312453674447,0.07039168529749759,-0.055304641007888275,0.08474415766711971,0.003393679800965721,0.06509370996561378,-0.18359572343864328,0.43979628029148243,0.027921300062902877,0,0.08474415766711971,9,195,102.0,167,45,95
