A,B,mech,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries,score,recent_rank,hist_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide1m_bd7,A,1.0283514605253385,0.06974773307487263,0.06841363522562889,-0.06251529039224168,0.08445219835213492,0.00299228083566927,0.050780350792852036,-0.13000558691413477,0.36835440523099133,0.019084384804333786,0,0.08445219835213492,73,193,133.0,167,84,131
core-2m/cross_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,A,0.6715852157083648,0.12859366850070442,0.18505607757778444,-0.19985376105530234,-0.2638744687836695,-0.11882633116641172,0.27007031349797417,-0.5179468031198384,-0.06616112358211922,-0.05879029250465775,0,-0.2638744687836695,195,335,265.0,324,281,349
core-2m/cross_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_noscreen,A,1.015517730539826,0.15055824447037214,0.14110153010903517,-0.14994006461467807,-0.37525168556341154,-0.11998908591268309,0.23497826318956216,-0.5264485681730957,-0.1185179995361134,-0.055159113274422286,0,-0.37525168556341154,78,390,234.0,378,224,378
core-2m/cross_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,A,0.42030840193938507,0.052271252549366175,0.13204739767319595,-0.17071956287811713,-0.2658631139567998,-0.09548171463877331,0.23115525557910235,-0.49551086280991774,-0.1451786560716265,-0.05922485961140624,0,-0.2658631139567998,320,338,329.0,327,374,389
core-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,A,0.7377381185826507,0.14064028809275234,0.17692695865238742,-0.20586796896852705,-0.3394110919416591,-0.11123901254225532,0.23431482949426483,-0.5281559479680058,-0.09660816703134414,-0.05137551281354933,0,-0.3394110919416591,171,377,274.0,366,300,365
core-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,A,0.5246510700210946,0.07634723838104585,0.13666727554367747,-0.15339928903207156,-0.32322541012743256,-0.10855094205398208,0.23494223511347362,-0.4904723179845961,-0.16141392909196645,-0.06290871327012956,0,-0.32322541012743256,272,368,320.0,356,361,400
core-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,A,0.5344550345017554,0.07103283881490216,0.1446802617583871,-0.1984948702050922,-0.27208746281874724,-0.09078918657259838,0.22143025833118798,-0.4686754203492236,-0.11777270442499539,-0.05082779456993849,0,-0.27208746281874724,266,343,304.5,332,340,377
core-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,A,0.6042706075165779,0.08144490400945133,0.13851007456984182,-0.1803466795156335,-0.320711768082572,-0.1002042105625841,0.2205959484243013,-0.4753499354458769,-0.14576453011675686,-0.05564963188583116,0,-0.320711768082572,229,366,297.5,354,330,391
core-2m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,A,0.5385539927669974,0.08422153056280705,0.16272147789396962,-0.1808312581521715,-0.09515477100519758,-0.03207450145136648,0.17278782580204832,-0.3203353395333075,0.06254811635868093,-0.004320935180869068,0,-0.09515477100519758,262,278,270.0,261,291,294
core-2m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,A,0.32738104510595384,0.04674508666307,0.15325864021872196,-0.20543695180144253,0.6314733258375524,0.05312659682024612,0.08807440519104551,-0.12481414614857789,0.505520711050865,0.05070737136911148,0,0.32738104510595384,359,29,194.0,62,157,68
core-2m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,A,0.6014664938987884,0.08309980370441857,0.1316820291131799,-0.16539714152298465,-0.24942073268247897,-0.08795822007333087,0.225455287974288,-0.47658065859192456,-0.09587091460710376,-0.04687393337635633,0,-0.24942073268247897,231,330,280.5,319,306,364
