mechanism,direction,day_rank,date,mean_v1_total_return,mean_v2_total_return,mean_return_difference,coverage_starts,trade_rank,leg,pair,fold_id,entry_date,exit_date,exit_reason,mean_v1_trade_day_pnl,mean_v2_trade_day_pnl,mean_trade_difference
A,v1_outperformed,5,2025-02-26,0.018074458122054576,0.00890432896765575,0.009170129154398826,5,4,A,INTU-VTRS,11,2025-02-21,2025-02-26,signal,13097.283535217171,5858.578885021609,7238.704650195563
A,v1_outperformed,5,2025-02-26,0.018074458122054576,0.00890432896765575,0.009170129154398826,5,5,A,INTU-VTRS,12,2025-02-21,2025-02-26,signal,12784.803047454849,5803.146422490142,6981.656624964707
A,v1_outperformed,6,2024-01-25,0.015263322927374524,0.006693433734031234,0.00856988919334329,1,1,B,TYL-UHS,0,2024-01-22,2024-01-31,signal,7014.027297973633,2872.7494049072266,4141.277893066406
A,v1_outperformed,6,2024-01-25,0.015263322927374524,0.006693433734031234,0.00856988919334329,1,2,A,ATO-HPQ,0,2024-01-24,2024-01-25,signal,4942.85451984405,1875.93358802795,3066.9209318160997
A,v1_outperformed,6,2024-01-25,0.015263322927374524,0.006693433734031234,0.00856988919334329,1,3,B,TYL-WBD,0,2024-01-11,2024-01-29,max_holding_loss,3722.9173574447636,2356.5114917755127,1366.405865669251
A,v1_outperformed,6,2024-01-25,0.015263322927374524,0.006693433734031234,0.00856988919334329,1,4,B,TYL-UDR,0,2024-01-24,2024-02-07,stop_loss,471.5019664764404,339.1404113769531,132.36155509948725
A,v1_outperformed,6,2024-01-25,0.015263322927374524,0.006693433734031234,0.00856988919334329,1,5,A,MCHP-TEL,0,2024-01-24,2024-02-08,max_holding_loss,-1441.984504699707,-842.2022094726562,-599.7822952270508
A,v1_outperformed,7,2025-06-23,0.01195919639309971,0.003754534019156864,0.008204662373942847,5,1,A,CF-FIX,12,2025-06-13,2025-06-23,signal,5886.506351974894,1152.9978782192973,4733.508473755596
A,v1_outperformed,7,2025-06-23,0.01195919639309971,0.003754534019156864,0.008204662373942847,5,2,A,CF-FIX,15,2025-06-13,2025-06-23,signal,5688.504911356925,1130.061244075583,4558.443667281342
A,v1_outperformed,7,2025-06-23,0.01195919639309971,0.003754534019156864,0.008204662373942847,5,3,A,CF-FIX,13,2025-06-13,2025-06-23,signal,6097.759348980011,1980.2956939723413,4117.46365500767
A,v1_outperformed,7,2025-06-23,0.01195919639309971,0.003754534019156864,0.008204662373942847,5,4,A,CF-FIX,11,2025-06-13,2025-06-23,signal,5970.233212488717,1946.7065597908884,4023.5266526978285
A,v1_outperformed,7,2025-06-23,0.01195919639309971,0.003754534019156864,0.008204662373942847,5,5,A,CF-FIX,14,2025-06-13,2025-06-23,signal,5849.173736328979,1929.7469212093918,3919.4268151195874
A,v1_outperformed,8,2025-04-04,-0.015372771090748433,-0.023376689717102366,0.008003918626353934,5,1,B,ERIE-OKE,4,2025-04-03,2025-04-04,stop_loss,-3567.339912392122,-28543.768706656265,24976.428794264142
A,v1_outperformed,8,2025-04-04,-0.015372771090748433,-0.023376689717102366,0.008003918626353934,5,2,B,AMAT-TRGP,3,2025-04-03,2025-04-04,stop_loss,-2422.74208767452,-16275.339919741316,13852.597832066796
A,v1_outperformed,8,2025-04-04,-0.015372771090748433,-0.023376689717102366,0.008003918626353934,5,3,B,AMAT-TRGP,4,2025-04-03,2025-04-04,stop_loss,-2373.615717302504,-16133.549734958935,13759.934017656431
A,v1_outperformed,8,2025-04-04,-0.015372771090748433,-0.023376689717102366,0.008003918626353934,5,4,B,ERIE-WTW,4,2025-04-03,2025-04-04,stop_loss,-1686.0195217623477,-12316.818043349971,10630.798521587623
A,v1_outperformed,8,2025-04-04,-0.015372771090748433,-0.023376689717102366,0.008003918626353934,5,5,B,LRCX-VLO,3,2025-04-03,2025-04-15,stop_loss,-1293.278697132094,-8054.612288011892,6761.333590879798
A,v1_outperformed,9,2025-07-31,0.012766826017687995,0.005821888647516086,0.00694493737017191,5,1,A,GLW-META,16,2025-07-29,2025-08-21,max_holding_loss,8571.45675759656,3358.2849556975484,5213.1718018990105
A,v1_outperformed,9,2025-07-31,0.012766826017687995,0.005821888647516086,0.00694493737017191,5,2,A,GLW-META,14,2025-07-29,2025-08-21,max_holding_loss,8366.62970761014,3303.0426647625413,5063.587042847599
A,v1_outperformed,9,2025-07-31,0.012766826017687995,0.005821888647516086,0.00694493737017191,5,3,A,GLW-META,17,2025-07-29,2025-08-21,max_holding_loss,8196.978075324309,3274.2666740864456,4922.711401237862
A,v1_outperformed,9,2025-07-31,0.012766826017687995,0.005821888647516086,0.00694493737017191,5,4,A,GLW-META,15,2025-07-29,2025-08-21,max_holding_loss,8259.623209024496,3490.0655495586757,4769.55765946582
A,v1_outperformed,9,2025-07-31,0.012766826017687995,0.005821888647516086,0.00694493737017191,5,5,A,GLW-META,18,2025-07-29,2025-08-21,max_holding_loss,7981.798435455743,3420.637532248322,4561.160903207421
A,v1_outperformed,10,2025-06-13,0.011614755057418182,0.004899771812699169,0.006714983244719014,5,1,A,CF-PYPL,16,2025-06-04,2025-06-13,signal,9414.232355307973,2599.648935333783,6814.58341997419
A,v1_outperformed,10,2025-06-13,0.011614755057418182,0.004899771812699169,0.006714983244719014,5,2,A,CF-PYPL,13,2025-06-04,2025-06-13,signal,9916.723609686112,3603.9919702313837,6312.73163945473
A,v1_outperformed,10,2025-06-13,0.011614755057418182,0.004899771812699169,0.006714983244719014,5,3,A,CF-PYPL,12,2025-06-04,2025-06-13,signal,9811.19845861286,3565.356915108762,6245.841543504099
A,v1_outperformed,10,2025-06-13,0.011614755057418182,0.004899771812699169,0.006714983244719014,5,4,A,CF-PYPL,15,2025-06-04,2025-06-13,signal,9547.182372413648,3519.46723282047,6027.715139593178
A,v1_outperformed,10,2025-06-13,0.011614755057418182,0.004899771812699169,0.006714983244719014,5,5,A,CF-PYPL,11,2025-06-04,2025-06-13,signal,9880.480645368465,4478.300324074463,5402.180321294002
A,v2_outperformed,1,2024-01-03,-0.03184841246509552,-0.010470585195541383,-0.021377827269554135,1,1,A,ELV-WAT,0,2024-01-02,2024-01-03,stop_loss,-9270.2812347412,-3768.6208648681627,-5501.660369873038
A,v2_outperformed,1,2024-01-03,-0.03184841246509552,-0.010470585195541383,-0.021377827269554135,1,2,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,-4959.386463165283,-1253.8297457695005,-3705.5567173957825
A,v2_outperformed,1,2024-01-03,-0.03184841246509552,-0.010470585195541383,-0.021377827269554135,1,3,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,-4439.0851192474365,-1248.1087551116943,-3190.976364135742
A,v2_outperformed,1,2024-01-03,-0.03184841246509552,-0.010470585195541383,-0.021377827269554135,1,4,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,-4404.144853591919,-1242.5898818969727,-3161.5549716949463
A,v2_outperformed,1,2024-01-03,-0.03184841246509552,-0.010470585195541383,-0.021377827269554135,1,5,A,ELV-NTRS,0,2024-01-02,2024-01-04,stop_loss,-4231.386657714844,-1418.452178955078,-2812.9344787597656
