window,mechanism,hr_bucket,trade_count,win_rate,average_abs_hr_entry,average_v1_gross_v2_gross_ratio,median_v1_gross_v2_gross_ratio,v1_raw_dollar_pnl_total,v2_raw_dollar_pnl_total,v1_total_pnl_contribution,v2_total_pnl_contribution,v1_minus_v2_contribution
recent,A,1.0 <= HR < 1.5,705,0.6312056737588653,1.1895758483404075,2.1907590658343037,2.1753081683201074,1825529.6193227768,818206.3534011841,402669.3934309188,146804.19904888206,255865.19438203677
recent,A,1.5 <= HR <= 2.0,139,0.6762589928057554,1.6798959007560672,2.6823507627664047,2.642554818215996,983743.4639396667,350942.19834423065,306942.9837451036,91766.58815527291,215176.39558983064
recent,A,HR > 2.0,64,0.625,2.483702700223149,3.4844985628468352,3.513726765599561,240120.75968647003,56316.61432647705,66799.47689688006,10567.88185565927,56231.5950412208
recent,B,HR < 0.5,781,0.5300896286811779,0.3379437911199118,1.3381976956421653,1.3334254848526803,572559.9691476822,458692.4228954315,208129.79902137935,26978.237668119997,181151.56135325937
recent,B,0.5 <= HR < 1.0,1239,0.48426150121065376,0.7329731554818878,1.7339303516032853,1.725245707786424,257590.18356895447,164023.4043865204,-82785.86821227855,-85120.29367907453,2334.425466796045
recent,B,1.0 <= HR < 1.5,705,0.6312056737588653,1.1895758483404075,2.1907590658343037,2.1753081683201074,1825529.6193227768,818206.3534011841,400878.2763187798,147343.0120426478,253535.264276132
recent,B,1.5 <= HR <= 2.0,139,0.6762589928057554,1.6798959007560672,2.6823507627664047,2.642554818215996,983743.4639396667,350942.19834423065,305100.89312073746,92596.65222723331,212504.24089350412
recent,B,HR > 2.0,64,0.625,2.483702700223149,3.4844985628468352,3.513726765599561,240120.75968647003,56316.61432647705,68831.071708679,11233.581343687049,57597.49036499196
recent,pair_level,HR < 0.5,781,0.5300896286811779,0.3379437911199118,1.3381976956421653,1.3334254848526803,572559.9691476822,458692.4228954315,572559.9691476822,458692.4228954315,113867.5462522507
recent,pair_level,0.5 <= HR < 1.0,1239,0.48426150121065376,0.7329731554818878,1.7339303516032853,1.725245707786424,257590.18356895447,164023.4043865204,257590.18356895447,164023.4043865204,93566.77918243395
recent,pair_level,1.0 <= HR < 1.5,705,0.6312056737588653,1.1895758483404075,2.1907590658343037,2.1753081683201074,1825529.6193227768,818206.3534011841,1825529.6193227768,818206.3534011841,1007323.2659215927
recent,pair_level,1.5 <= HR <= 2.0,139,0.6762589928057554,1.6798959007560672,2.6823507627664047,2.642554818215996,983743.4639396667,350942.19834423065,983743.4639396667,350942.19834423065,632801.2655954361
recent,pair_level,HR > 2.0,64,0.625,2.483702700223149,3.4844985628468352,3.513726765599561,240120.75968647003,56316.61432647705,240120.75968647003,56316.61432647705,183804.14535999298
