window,start_index,start_A,start_B,mechanism,case,date,daily_return
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-01,0.0022698840815089023
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-05,0.006010550657603611
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-06,0.00031787139281053557
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-07,-0.0006271438129019286
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-08,0.0019404726775691253
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-11,-0.00020637410984877504
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-12,0.00018629462080247945
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-13,7.876655815116066e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-14,-1.459497669179749e-06
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-15,-1.0586521126221133e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-18,0.00017299159449555085
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-19,-7.422529635225474e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-20,-0.002666707905755337
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-21,-0.002865389560925933
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-22,-9.185531657876739e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-25,-7.034357521835727e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-26,4.913718726969893e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-27,7.231483768909681e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-28,-7.916056442053893e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-09-29,0.00011694872970455808
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-02,3.0705079134210295e-06
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-03,1.2751833122969262e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-04,0.00023722357666362896
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-05,-0.00048048503912202756
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-06,0.00016177778688556137
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-09,0.00029714056657236616
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-10,-0.0010469992249524619
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-11,0.0006045841250894244
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-12,-0.0020685151730109215
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-13,7.554401071205266e-05
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-16,0.000999698721508105
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-17,-0.0014461954011372065
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-18,0.00138097696234779
