date,start_index,start_A,start_B,mechanism,v1_daily_pnl,v2_daily_pnl,v1_account_return,v2_account_return,v1_account_equity,v2_account_equity,v1_a_long_exposure,v1_a_short_exposure,v1_a_total_gross_exposure,v1_b_long_exposure,v1_b_short_exposure,v1_b_total_gross_exposure,v1_total_gross_exposure,v1_net_exposure,v1_gross_leverage,v2_a_long_exposure,v2_a_short_exposure,v2_a_total_gross_exposure,v2_b_long_exposure,v2_b_short_exposure,v2_b_total_gross_exposure,v2_total_gross_exposure,v2_net_exposure,v2_gross_leverage,v1_pnl_supporting_a_gross_exposure,v1_pnl_supporting_b_gross_exposure,v1_pnl_supporting_total_gross_exposure,v2_pnl_supporting_a_gross_exposure,v2_pnl_supporting_b_gross_exposure,v2_pnl_supporting_total_gross_exposure,v1_return_on_gross,v2_return_on_gross,v1_a_weight,v1_b_weight,v2_a_weight,v2_b_weight,v1_minus_v2_gross_leverage,v1_minus_v2_account_return,v1_v2_total_gross_exposure_ratio,v1_matched_to_v2_daily_pnl,v1_matched_to_v2_account_return,v1_matched_to_v2_account_equity,v1_matched_to_v2_gross_exposure,v2_matched_to_v1_daily_pnl,v2_matched_to_v1_account_return,v2_matched_to_v1_account_equity,v2_matched_to_v1_gross_exposure,v1_efficiency_index,v2_efficiency_index
2025-07-11,3,2023-04-01,2024-02-01,B,1439.7269037442748,82.54354034119751,0.001304668079838659,7.946172369478635e-05,1104959.4082638628,1038866.2057001059,343247.8477204573,724098.2322255574,1067346.0799460148,20296.62307803481,27657.33407569329,47953.9571537281,1115300.0370997428,-388211.09550275863,1.0093583789219256,164948.39469211572,363781.7146215412,528730.1093136569,10792.07738308694,14710.049562923494,25502.126946010434,554232.2362596673,-202751.29210926205,0.5334972234332743,1075200.5735375767,48240.45827892139,1123441.0318164981,531763.7223070529,25654.45490832587,557418.1772153787,0.0012815331316645719,0.00014808189563094177,0.9,0.09999999999999998,0.9,0.09999999999999998,0.47586115548865127,0.0012252063561438726,2.012333394077795,714.3498622935816,0.0006769280912851483,1055996.102075277,554232.2362596673,166.3612776209682,0.00015451015168590845,1076867.638221229,1115300.0370997428,1.144902623552385,1.1180451002978993
2025-07-14,3,2023-04-01,2024-02-01,B,13867.422068631975,7649.554406582029,0.012550164254830666,0.0073633682225969525,1118826.8303324948,1046515.7601066879,470641.5818616711,768610.2855681725,1239251.8674298436,137461.65486755938,119640.00059353313,257101.6554610925,1496353.5228909361,-280147.0494324751,1.3374308537508413,244150.97311873917,399994.6956487281,644145.6687674673,71839.76494837436,61248.81498057461,133088.57992894895,777234.2486964163,-145252.77256218914,0.7426875717735779,1236415.4303927503,250495.7354932215,1486911.1658859716,642622.125780755,129662.95134916174,772285.0771299166,0.009326328557341293,0.009905091569308145,0.9,0.09999999999999998,0.9,0.09999999999999998,0.5947432819772633,0.0051867960322337136,1.9252284950137397,7202.5843692452645,0.0068206543140552495,1063198.686444522,777234.2486964163,14727.991253527285,0.013676695938095972,1091595.6294747563,1496353.5228909361,1.1555803615857965,1.1291194393949664
2025-07-15,3,2023-04-01,2024-02-01,B,3315.5131498128176,1637.4960325836437,0.0029633836621772,0.0015647122527965636,1122142.3434823076,1048153.2561392715,455316.9455079465,558748.9638393315,1014065.9093472781,20305.086098202293,26902.491060036944,47207.57715823923,1061273.4865055173,-110029.42329321972,0.9457565634784817,211109.74522079807,264769.5269432445,475879.2721640426,10796.577322224155,14308.572756007023,25105.150078231178,500984.42224227375,-57171.777156229306,0.47796867424481515,1032821.0743618377,48187.32027621866,1081008.3946380564,484891.063264984,25626.21029064339,510517.2735556274,0.003067055876955441,0.0032075232659198507,0.9,0.09999999999999998,0.9,0.09999999999999998,0.46778788923366654,0.0013986714093806366,2.1183762196747313,1565.7850041460556,0.0014727115675643365,1064764.4714486683,500984.42224227375,3467.3595764562333,0.003176413941969175,1095062.9890512126,1061273.4865055173,1.1591245911250925,1.1327411162668282
2025-07-16,3,2023-04-01,2024-02-01,B,2282.59481940954,1399.3283631863305,0.0020341401718484645,0.0013350417555735735,1124424.9383017172,1049552.5845024579,400404.897674729,473083.88655200356,873488.7842267326,48332.996974672846,49205.78637432383,97538.78334899667,971027.5675757292,-73551.77827692556,0.8635770468078797,179550.33292240946,215368.2678759659,394918.6007983753,25478.184118897494,25995.654338387307,51473.8384572848,446392.4392556601,-36335.40517304625,0.42531688821220254,878365.6948430839,96856.78300393245,975222.4778470163,397508.3236719546,51113.7344012784,448622.058073233,0.0023405888105130527,0.0031191697733193146,0.9,0.09999999999999998,0.9,0.09999999999999998,0.4382601585956772,0.0006990984162748911,2.1752778098008902,1050.0397692755462,0.0009861709302216965,1065814.5112179439,446392.4392556601,3041.884475161978,0.002777816897818395,1098104.8735263746,971027.5675757292,1.1618376251730704,1.1362743281176837
2025-07-17,3,2023-04-01,2024-02-01,B,-5404.800542362267,-3059.3236373855034,-0.004806724182518972,-0.002914883620467459,1119020.137759355,1046493.2608650724,316883.95811316,395594.8511791008,712478.8092922608,48171.983746670754,49503.28674455891,97675.27049122966,810154.0797834905,-80042.19606382896,0.7239852549978989,140960.1241991192,180069.32153047292,321029.4457295921,25393.891515011135,26153.83315696867,51547.724671979806,372577.1704015719,-39869.13897331126,0.3560244335387167,704123.5169187246,97538.78334899667,801662.3002677213,316418.8725080032,51473.8384572848,367892.710965288,-0.006741991659776557,-0.008315803891189792,0.9,0.09999999999999998,0.9,0.09999999999999998,0.3679608214591822,-0.001891840562051513,2.174459800932753,-2480.329589020559,-0.002327168154415724,1063334.1816289234,372577.1704015719,-6666.466475986477,-0.0060708832432172614,1091438.4070503882,810154.0797834905,1.1540045255941391,1.1268252936384635
2025-07-18,3,2023-04-01,2024-02-01,B,3833.927593415603,1715.4711163366446,0.0034261470942715854,0.0016392567257610135,1122854.0653527705,1048208.731981409,206537.7036174388,220552.04977952375,427089.75339696254,70133.7045691964,78459.2461373916,148592.950706588,575682.7041035505,-22339.88773028017,0.5126959253807275,83124.2393951898,82090.53082266686,165214.77021785665,33805.65176615935,44770.0001043388,78575.65187049814,243790.42208835483,-9930.639765656502,0.23257812556810362,423462.53552706004,147941.2066763353,571403.7422033953,163864.23202792482,78102.78475240007,241967.0167803249,0.006709664831090463,0.007089689905521598,0.9,0.09999999999999998,0.9,0.09999999999999998,0.28011779981262386,0.0017868903685105718,2.3613835981419764,1623.517582774822,0.00152681782531222,1064957.6992116983,243790.42208835483,4051.0753430766777,0.0037116847977016927,1095489.4823934648,575682.7041035505,1.1617475091744374,1.1348141355480583
2025-07-21,3,2023-04-01,2024-02-01,B,-5230.976165705128,-2605.9216626523994,-0.00465864294133512,-0.0024860713168516307,1117623.0891870654,1045602.8103187566,421202.7473282774,455662.61480104615,876865.3621293235,63908.54741888869,50067.67411933666,113976.22153822535,990841.5836675488,-20618.994173216706,0.8865614832530575,195151.28710907866,204760.44859896816,399911.7357080468,29056.169512848603,22858.250768598642,51914.420281447245,451826.15598949406,-3411.2427456395308,0.43212025783648467,878891.2981253264,114158.94797343496,993050.2460987613,400902.3124349457,52013.21230815403,452915.52474309976,-0.005267584582205415,-0.0057536593918491,0.9,0.09999999999999998,0.9,0.09999999999999998,0.45444122541657284,-0.0021725716244834895,2.1929708374178056,-2385.770835178227,-0.0022402493891956646,1062571.92837652,451826.15598949406,-5713.672875044198,-0.005215634624406215,1089775.8095184206,990841.5836675488,1.1556279059066945,1.1282848015390592
2025-07-22,3,2023-04-01,2024-02-01,B,3917.140530426288,1924.1399099547416,0.003504885115853799,0.001840220675543287,1121540.2297174917,1047526.9502287114,431167.7070978938,460318.3677337761,891486.0748316699,111269.27715413309,107131.65461599756,218400.93177013064,1109887.0066018004,-25013.038097746772,0.9896096254000388,199733.9132382039,206762.85964137956,406496.77287958347,53084.15986671449,51762.57889396488,104846.73876067938,511343.51164026285,-5707.365430426027,0.4881435380050307,876865.3621293235,216566.0591589599,1093431.4212882835,399911.7357080468,103995.47749339492,503907.21320144174,0.0035824290889785327,0.003818440894565143,0.9,0.09999999999999998,0.9,0.09999999999999998,0.5014660873950081,0.001664664440310512,2.170531123083109,1805.2118587189523,0.0016989079143819423,1064377.140235239,511343.51164026285,4175.20325444967,0.003831249710245193,1093951.0127728703,1109887.0066018004,1.1597678609328501,1.1325930903659722
2025-07-23,3,2023-04-01,2024-02-01,B,-8930.490353908623,-4415.002499733237,-0.00796270175360375,-0.004214691086247746,1112609.739363583,1043111.9477289781,506904.8433077822,507263.63092362025,1014168.4742314024,111408.2656955746,107370.84833305285,218779.11402862746,1232947.58826003,3678.6297466836695,1.1081581839875683,247988.72978578552,235875.79608940365,483864.52587518917,53208.33096256071,51855.23640491217,105063.56736747288,588928.093242662,13466.028254030389,0.5645876212278585,1017792.8596406835,218400.93177013064,1236193.7914108143,485760.2189458155,104846.73876067938,590606.9577064948,-0.007224183146654249,-0.00747536486342461,0.9,0.09999999999999998,0.9,0.09999999999999998,0.5435705627597097,-0.0037480106673560033,2.0935452093503817,-4266.652830159999,-0.00400859119279565,1060110.487405079,588928.093242662,-9240.999632696052,-0.008447361467560246,1084710.013140174,1232947.58826003,1.1513894854978677,1.124126543773693
2025-07-24,3,2023-04-01,2024-02-01,B,-5581.663802546449,-2081.248513388913,-0.005016731028922308,-0.0019952302510963704,1107028.0755610366,1041030.6992155892,821612.0260837249,1023268.1858367077,1844880.2119204327,74729.65913037567,78380.79156834308,153110.45069871875,1997990.6626191514,-205307.29219095013,1.8048238402685308,381909.9718854724,498100.85226277856,880010.824148251,38382.70728649677,40144.206905880375,78526.91419237715,958537.7383406281,-117952.37999668975,0.9207583782715351,1848398.5050402656,153418.4536134561,2001816.9586537217,881792.5627509794,78686.42550335341,960478.9882543328,-0.0027882987894658835,-0.002166886042110692,0.9,0.09999999999999998,0.9,0.09999999999999998,0.8840654619969958,-0.0030215007778259377,2.0844152323913416,-2678.1024002569725,-0.0025262483788952863,1057432.385004822,958537.7383406281,-4337.709226567226,-0.003998957485429496,1080372.3039136068,1997990.6626191514,1.1481790675892503,1.1216906896564236
2025-07-25,3,2023-04-01,2024-02-01,B,27.556146176997572,-58.653829569229856,2.489200299914006e-05,-5.634207484315802e-05,1107055.6317072136,1040972.04538602,801358.951817345,977062.2472310648,1778421.1990484097,75131.41564871636,79027.84751590068,154159.26316461703,1932580.4622130266,-179599.72728090413,1.7456940797390226,379857.2817524103,492565.6055970685,872422.8873494788,38587.79642976991,40472.020655526794,79059.8170852967,951482.7044347755,-114592.54807041511,0.9140329066972597,1775561.6382727018,153110.45069871875,1928672.0889714204,870788.9793718704,78526.91419237715,949315.8935642475,1.4287626359384675e-05,-6.17853656162982e-05,0.9,0.09999999999999998,0.9,0.09999999999999998,0.8316611730417629,8.123407784229808e-05,2.0311251620291597,13.563470784271361,1.2826797227521561e-05,1057445.9484756063,951482.7044347755,-119.1637101710488,-0.00011029874584842918,1080253.1402034357,1932580.4622130266,1.1481954723427616,1.1216213855870547
2025-07-28,3,2023-04-01,2024-02-01,B,7456.237276592758,4361.92504660401,0.006735196554751579,0.0041902422509208625,1114511.8689838063,1045333.970432624,798484.1725174155,966908.7715752876,1765392.944092703,75197.37429342163,78916.26523986075,154113.63953328237,1919506.5836259853,-172143.4900043112,1.7222845597653078,378726.22349240456,487156.39691414946,865882.6204065541,38615.07224480234,40415.52184686856,79030.59409167091,944913.214498225,-110230.62302381115,0.9039342843772324,1778421.1990484097,154159.26316461703,1932580.4622130266,872422.8873494788,79059.8170852967,951482.7044347755,0.003858176889594811,0.004584345071406416,0.9,0.09999999999999998,0.9,0.09999999999999998,0.8183502753880754,0.002544954303830716,2.031410455663165,3670.988581099421,0.0034715614414064827,1061116.9370567056,944913.214498225,8859.615717042621,0.008201425561581018,1089112.7559204784,1919506.5836259853,1.152625413578892,1.126763285058055
2025-07-29,3,2023-04-01,2024-02-01,B,8639.752356634708,4392.121353317052,0.0077520505587009075,0.004201644142014556,1123151.621340441,1049726.091785941,798901.7616915572,960064.8022737361,1758966.5639652933,74747.5731002611,77088.27016575867,151835.84326601977,1910802.4072313132,-163503.73764767637,1.7012862474888646,378832.4093238438,483569.8332386589,862402.2425625026,38384.302835373426,39485.38059105222,77869.68342642565,940271.9259889283,-105838.5016704939,0.895730737138491,1765392.944092703,154113.63953328237,1919506.5836259853,865882.6204065541,79030.59409167091,944913.214498225,0.004501027727820578,0.0046481743359355916,0.9,0.09999999999999998,0.9,0.09999999999999998,0.8055555103503735,0.003550406416686351,2.0321806430853844,4253.080578840583,0.004008116759155358,1065370.0176355462,940271.9259889283,8922.20123966971,0.008192174034477258,1098034.957160148,1910802.4072313132,1.1578134125252013,1.1320006772423363
2025-07-30,3,2023-04-01,2024-02-01,B,13028.509725113865,7045.517215832137,0.011599956299368386,0.006711767260967397,1136180.131065555,1056771.6090017732,914097.9994714514,1124078.2737014473,2038176.2731728987,74075.48003716825,76517.68127332733,150593.16131049558,2188769.434483394,-212422.47546615498,1.9264281909512702,436365.21744329383,570292.772456352,1006657.9898996458,38035.85704558791,39193.24984276193,77229.10688834984,1083887.0967879957,-135084.9478102322,1.025658796617214,2064605.2114335566,151835.84326601977,2216441.0546995765,1019867.4991908704,77869.68342642565,1097737.182617296,0.005878121458492742,0.006418218611338061,0.9,0.09999999999999998,0.9,0.09999999999999998,0.9007693943340562,0.004888189038400988,2.0193703209214506,6452.632488928093,0.006056705540905772,1071822.6501244742,1083887.0967879957,14225.603228206583,0.012955510328194208,1112260.5603883546,2188769.434483394,1.1646191803902963,1.1392661050570603
2025-07-31,3,2023-04-01,2024-02-01,B,14260.532539624954,6112.546164177358,0.01255129547658157,0.005784169551972797,1150440.6636051799,1062884.1551659505,636915.1767909074,689559.573991543,1326474.7507824504,47108.67128996928,54868.16727423663,101976.83856420591,1428451.5893466563,-60403.89318490303,1.2416560319332446,292726.0779891029,329871.73145689256,622597.8094459955,23917.895226779197,27855.020405540858,51772.91563232006,674370.7250783155,-41082.778646551276,0.6344724604282246,1329111.5196688555,102710.35036236502,1431821.8700312204,624352.3800035072,52145.82231368337,676498.2023171906,0.009959711356632657,0.009035568968609558,0.9,0.09999999999999998,0.9,0.09999999999999998,0.60718357150502,0.006767125924608773,2.118199287462795,6737.726828360101,0.0062862329206960004,1078560.3769528342,674370.7250783155,12937.325257430603,0.011631559832449182,1125197.8856457851,1428451.5893466563,1.176218451267382,1.1495600225229023
2025-08-01,3,2023-04-01,2024-02-01,B,3213.7210247635376,1786.3338323496282,0.0027934696038060557,0.0016806477203253857,1153654.3846299434,1064670.4889983002,479324.8661092769,434695.2448518146,914020.1109610915,46079.69272328698,52574.29774816435,98653.99047145132,1012674.1014325429,38135.016232584996,0.8777967777215855,244515.31823815193,214708.6504870942,459223.96872524614,23396.174031016355,26690.487569278368,50086.66160029473,509310.6303255409,26512.354212795704,0.47837395286942536,935679.114787088,101976.83856420591,1037655.9533512939,470185.44106061343,51772.91563232006,521958.35669293354,0.0030970968887946487,0.0034223684886810287,0.9,0.09999999999999998,0.9,0.09999999999999998,0.39942282485216013,0.00111282188348067,1.988323119792851,1616.555602594052,0.001498808631521557,1080176.9325554282,509310.6303255409,3551.2410368417395,0.0031561035460029993,1128749.1266826268,1012674.1014325429,1.179861313773345,1.153494240519832
2025-08-04,3,2023-04-01,2024-02-01,B,1913.185665664263,769.524308053311,0.0016583698646262708,0.0007227816643789208,1155567.5702956077,1065440.0133063535,486269.3527544198,439455.5845606964,925724.9373151162,22835.119690369876,27029.28376995376,49864.403460323636,975589.3407754399,42619.60411413951,0.8442512284468772,247828.86853378383,217115.64131251565,464944.5098462995,11544.2701604383,13666.48216924598,25210.752329684277,490155.26217598375,28591.01521246048,0.46004960960204333,914020.1109610915,48651.09493917739,962671.2059002689,459223.96872524614,24597.31453015108,483821.2832553972,0.001987371860650069,0.0015905135525985082,0.9,0.09999999999999998,0.9,0.09999999999999998,0.38420161884483384,0.00093558820024735,1.9903679834924783,961.5328039253828,0.0008901623196587219,1081138.4653593537,490155.26217598375,1531.1415996807266,0.0013564941610902717,1130280.2682823075,975589.3407754399,1.1822061369478076,1.155328888742223
2025-08-05,3,2023-04-01,2024-02-01,B,-3599.838632639032,-1874.2241973064374,-0.003115212580531445,-0.0017591081373884243,1151967.7316629686,1063565.789109047,338988.27612442634,278898.86659663124,617887.1427210576,22565.247159169387,26734.5602516711,49299.80741084048,667186.9501318982,55920.0964352934,0.5791715616623688,174545.5861021007,137323.3097628345,311868.89586493524,11407.83639300884,13517.46476494669,24925.30115795553,336794.19702289073,35112.64796732835,0.3166651282616231,620168.4942002315,49864.403460323636,670032.8976605552,313191.50638154557,25210.752329684277,338402.25871122984,-0.005372629680136606,-0.005538450613315133,0.9,0.09999999999999998,0.9,0.09999999999999998,0.26250643340074575,-0.0013561044431430207,1.9809930100623194,-1818.1100189772196,-0.0016816625041390124,1079320.3553403765,336794.19702289073,-3710.944112989418,-0.003283207021413333,1126569.3241693182,667186.9501318982,1.1758545811684022,1.148930156749788
2025-08-06,3,2023-04-01,2024-02-01,B,6123.923844419885,2762.991589955054,0.005316055021419266,0.002597856774116082,1158091.6555073885,1066328.780699002,455963.62750521593,361814.3618141713,817777.9893193872,0.0,0.0,0.0,817777.9893193872,94149.26569104462,0.7061427180054229,221886.221030329,170670.04717788615,392556.26820821513,0.0,0.0,0.0,392556.26820821513,51216.17385244285,0.3681381158547421,812215.0960582416,0.0,812215.0960582416,390011.4443593597,0.0,390011.4443593597,0.007539780871027737,0.007084385932555383,0.9,0.09999999999999998,0.9,0.09999999999999998,0.33800460215068084,0.002718198247303184,2.0832121546601594,2940.600827662599,0.0027244930692845552,1082260.956168039,392556.26820821513,5754.045200724126,0.005107581998974543,1132323.3693700423,817777.9893193872,1.1847202670466062,1.1570696213897549
