window,start_index,start_A,start_B,mechanism,leg,pair,fold_id,entry_date,exit_date,exit_reason,entry_hedge_ratio,abs_entry_hedge_ratio,v1_reference_leg_sizing_budget,v1_actual_gross_exposure,v1_sizing_time_gross_exposure,v2_pair_gross_budget,v2_actual_gross_exposure,v1_gross_v2_gross_ratio,v1_final_dollar_pnl_pre_combined_rescaling,v2_final_dollar_pnl_pre_combined_rescaling,v1_normalized_trade_pnl,v2_normalized_trade_pnl,v1_allocator_weight_applicable_at_entry,v2_allocator_weight_applicable_at_entry,v1_replay_allocation,v2_replay_allocation,v1_final_contribution_to_combined_book,v2_final_contribution_to_combined_book,contribution_difference_v1_minus_v2,trade_identity_match
recent,3,2023-04-01,2024-02-01,B,B,PEG-XEL,3,2025-01-02,2025-01-06,stop_loss,0.6062654951801327,0.6062654951801327,250000.0,401503.28332901,401503.28332901,250000.0,249930.89721679688,1.606457175963863,-5481.106006622314,-3412.291038513184,-0.0219244240264892,-0.0136491641540527,0.9,0.9,26357.629029267322,25687.489519160303,-577.8758351705577,-350.61276115252724,-227.26307401803047,True
recent,3,2023-04-01,2024-02-01,B,B,DVA-XEL,3,2025-01-02,2025-01-06,stop_loss,0.1953978780818426,0.1953978780818426,250000.0,298808.1926765442,298808.1926765442,250000.0,249847.6014213562,1.1959618222334594,-4970.153774261475,-4156.3255043029785,-0.0198806150970459,-0.0166253020172119,0.9,0.9,26357.629029267322,25687.489519160303,-524.0058776015871,-427.0622713200053,-96.94360628158182,True
recent,3,2023-04-01,2024-02-01,B,B,PEG-PPL,3,2025-01-06,2025-01-08,signal,0.4120944763399954,0.4120944763399954,250000.0,352953.93196105957,352953.93196105957,250000.0,249945.37102508545,1.412124299455963,3971.2369689941406,2812.2292098999023,0.0158849478759765,0.0112489168395996,0.9,0.9,26357.629029267322,25687.489519160303,418.6895632642365,288.9564334191206,129.7331298451159,True
recent,3,2023-04-01,2024-02-01,B,B,HWM-VTRS,3,2025-01-06,2025-01-14,stop_loss,0.6220857468425653,0.6220857468425653,250000.0,405454.44190216064,405454.44190216064,250000.0,249997.5238647461,1.6218338311283436,-14100.302072525024,-8694.85903930664,-0.0564012082901001,-0.0347794361572265,0.9,0.9,26357.629029267322,25687.489519160303,-1486.602124912895,-893.3964017710606,-593.2057231418345,True
recent,3,2023-04-01,2024-02-01,B,B,PEG-PPL,3,2025-01-16,2025-01-22,signal,0.4373259595017581,0.4373259595017581,250000.0,359232.72401046753,359232.72401046753,250000.0,249967.9369239807,1.4371152093786972,3510.1442642211914,2442.1928939819336,0.0140405770568847,0.0097687715759277,0.9,0.9,26357.629029267322,25687.489519160303,370.07632142220893,250.93521747171388,119.14110395049505,True
recent,3,2023-04-01,2024-02-01,B,B,ESS-FITB,3,2025-02-03,2025-02-05,stop_loss,0.9167907735265935,0.9167907735265935,250000.0,478951.1172180176,478951.1172180176,250000.0,249711.35229492188,1.9180189959980347,-6826.235500335693,-3556.2319946289062,-0.0273049420013427,-0.0142249279785156,0.9,0.9,26357.629029267322,25687.489519160303,-719.6935319370509,-365.40268835892965,-354.29084357812127,True
recent,3,2023-04-01,2024-02-01,B,B,PEG-PPL,3,2025-01-27,2025-02-11,max_holding_loss,0.5014688553200549,0.5014688553200549,250000.0,375280.7436981201,375280.7436981201,250000.0,249927.84799957275,1.501556335966057,-4970.496925354004,-3309.806713104248,-0.019881987701416,-0.0132392268524169,0.9,0.9,26357.629029267322,25687.489519160303,-524.0420561983782,-340.0825010132448,-183.9595551851334,True
recent,3,2023-04-01,2024-02-01,B,B,VTRS-WFC,3,2025-02-10,2025-02-13,guard_trip,0.4481339809958018,0.4481339809958018,250000.0,361996.99994564056,361996.99994564056,250000.0,249938.55327510837,1.4483439837598364,-2688.681816101074,-1856.3720321655276,-0.0107547272644042,-0.0074254881286621,0.9,0.9,26357.629029267322,25687.489519160303,-283.46911154611286,-190.74214847965695,-92.72696306645591,True
recent,3,2023-04-01,2024-02-01,B,B,PNC-WM,3,2025-03-06,2025-03-07,signal,0.2656144400156233,0.2656144400156233,250000.0,316260.787689209,316260.787689209,250000.0,249767.1944580078,1.266222285018221,3678.5625,2905.1571350097656,0.01471425,0.011620628540039,0.9,0.9,26357.629029267322,25687.489519160303,387.8327429438967,298.5047738283069,89.32796911558978,True
recent,3,2023-04-01,2024-02-01,B,B,MAR-MCD,3,2025-03-07,2025-03-11,guard_trip,0.094949146678438,0.094949146678438,250000.0,273526.5715332031,273526.5715332031,250000.0,249772.97119140625,1.0951007638196129,9826.913681030272,8976.245834350586,0.039307654724121,0.0359049833374023,0.9,0.9,26357.629029267322,25687.489519160303,1036.0565812289083,922.308883165147,113.74769806376128,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-IVZ,4,2025-04-03,2025-04-04,stop_loss,0.5509958710432741,0.5509958710432741,250000.0,387738.1617565155,387738.1617565155,250000.0,249921.6873550415,1.5514386360783905,-13383.555866241457,-8630.373977661133,-0.0535342234649658,-0.0345214959106445,0.9,0.5,26727.208055324056,128803.28927786993,-1430.820328628352,-4446.482224083547,3015.6618954551955,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-ISRG,4,2025-04-04,2025-04-09,signal,0.3236706443000789,0.3236706443000789,250000.0,330446.712310791,330446.712310791,250000.0,249779.37969970703,1.3229543315707841,33848.96713256836,25585.49688720703,0.1353958685302734,0.1023419875488281,0.9,0.5,26727.208055324056,128803.28927786993,3618.75354803992,13181.984627523869,-9563.231079483949,True
recent,3,2023-04-01,2024-02-01,B,B,PYPL-SNPS,4,2025-04-04,2025-04-09,signal,0.5836700831330286,0.5836700831330286,250000.0,395843.0380783081,395843.0380783081,250000.0,249534.34938812256,1.5863268485839555,12180.687759399414,7680.933181762695,0.0487227510375976,0.0307237327270507,0.9,0.5,26727.208055324056,128803.28927786993,1302.2231040096271,3957.317834138271,-2655.0947301286437,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-SYF,4,2025-04-03,2025-04-09,signal,0.9842695592582557,0.9842695592582557,250000.0,495944.17346572876,495944.17346572876,250000.0,249854.29235076904,1.9849335738826352,13582.124900817871,6845.60676574707,0.0543284996032714,0.0273824270629882,0.9,0.5,26727.208055324056,128803.28927786993,1452.049112230225,3526.946674124243,-2074.897561894018,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-WDC,4,2025-04-03,2025-04-17,signal,0.7195677299006111,0.7195677299006111,250000.0,429797.54640960693,429797.54640960693,250000.0,249942.55909729004,1.719585283762372,22318.22145843506,12977.984420776367,0.0892728858337402,0.0519119376831054,0.9,0.5,26727.208055324056,128803.28927786993,2386.0149933775656,6686.428326371782,-4300.413332994216,True
recent,3,2023-04-01,2024-02-01,B,B,CHRW-CMCSA,4,2025-04-03,2025-04-21,max_holding_loss,1.276980299392123,1.276980299392123,250000.0,569210.3571186066,569210.3571186066,250000.0,249937.358959198,2.2774120663231043,-3689.0879650115967,-1617.2179145812988,-0.0147563518600463,-0.0064688716583251,0.9,0.5,26727.208055324056,128803.28927786993,-394.3960863010256,-833.2119475086621,438.8158612076365,True
recent,3,2023-04-01,2024-02-01,B,B,PYPL-SNPS,4,2025-05-12,2025-05-15,stop_loss,0.5998982540461028,0.5998982540461028,250000.0,399591.745513916,399591.745513916,250000.0,249925.0052947998,1.5988466021740255,-5924.965148925781,-3705.875946044922,-0.0236998605957031,-0.0148235037841796,0.5,0.1,133636.0402766203,231845.92070016588,-3167.155525117666,-3436.7688828455125,269.6133577278465,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-MS,4,2025-05-13,2025-05-15,stop_loss,0.8295380886287774,0.8295380886287774,250000.0,457289.9326019287,457289.9326019287,250000.0,249692.6731338501,1.8314110977409184,-6923.593032836914,-3781.514396667481,-0.0276943721313476,-0.0151260575866699,0.5,0.1,133636.0402766203,231845.92070016588,-3700.9662295804787,-3506.914747745212,-194.0514818352667,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-RF,4,2025-05-13,2025-05-21,signal,0.8282585764718495,0.8282585764718495,250000.0,456941.2845916748,456941.2845916748,250000.0,249885.6324996948,1.8286016687743458,3262.548915863037,1786.1971035003662,0.0130501956634521,0.0071447884140014,0.5,0.1,133636.0402766203,231845.92070016588,1743.9764732988604,1656.4900480520325,87.48642524682782,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-PNC,4,2025-05-13,2025-05-27,stop_loss,0.940850068478212,0.940850068478212,250000.0,485024.259475708,485024.259475708,250000.0,249618.6259460449,1.943061170365332,-5810.497009277344,-2990.344009399414,-0.0232419880371093,-0.0119613760375976,0.5,0.1,133636.0402766203,231845.92070016588,-3105.9672494358656,-2773.1962402777176,-332.771009158148,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-JBL,4,2025-05-13,2025-05-27,stop_loss,0.7786112033621458,0.7786112033621458,250000.0,444332.07273864746,444332.07273864746,250000.0,249754.3252105713,1.7790765880191464,-9663.226486206057,-5430.23908996582,-0.0386529059448242,-0.0217209563598632,0.5,0.1,133636.0402766203,231845.92070016588,-5165.421295650943,-5035.915125740607,-129.5061699103353,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-SYF,4,2025-05-13,2025-05-28,max_holding_loss,1.396161440051026,1.396161440051026,250000.0,598942.3709869385,598942.3709869385,250000.0,249859.1515197754,2.397120006787242,-3957.765045166016,-1647.6568908691406,-0.015831060180664,-0.0065906275634765,0.5,0.1,133636.0402766203,231845.92070016588,-2115.600195924814,-1528.0101154461001,-587.5900804787141,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-MTB,4,2025-05-13,2025-05-28,max_holding_loss,0.7501333308237225,0.7501333308237225,250000.0,437310.01332092285,437310.01332092285,250000.0,249735.12098693848,1.7510953669339717,-2019.1587371826167,-1152.1371307373047,-0.0080766349487304,-0.0046085485229492,0.5,0.1,133636.0402766203,231845.92070016588,-1079.329513308095,-1068.4731753945468,-10.85633791354826,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-ON,4,2025-06-03,2025-06-04,stop_loss,1.5943800565454675,1.5943800565454675,250000.0,648442.8399543762,648442.8399543762,250000.0,249842.45874786377,2.595406894425308,-17873.291942596436,-6888.578407287598,-0.0714931677703857,-0.0275543136291503,0.9,0.5,26727.208055324056,128803.28927786993,-1910.8127695332867,-3549.0862292286006,1638.273459695314,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-LYV,4,2025-05-29,2025-06-05,signal,0.533391994387213,0.533391994387213,250000.0,383166.11421203613,383166.11421203613,250000.0,249860.9877319336,1.5335171676465178,15827.857345581057,10319.670318603516,0.0633114293823242,0.041278681274414,0.5,0.1,133636.0402766203,231845.92070016588,8460.68872690668,9570.293865355212,-1109.6051384485327,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-IVZ,4,2025-06-03,2025-06-10,signal,1.372255631203975,1.372255631203975,250000.0,592889.3953495026,592889.3953495026,250000.0,249928.7329082489,2.3722338302221444,2046.4299697875977,862.2760543823242,0.0081857198791503,0.0034491042175292,0.9,0.5,26727.208055324056,128803.28927786993,218.78143829265215,444.2559682799348,-225.47452998728264,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-MS,4,2025-06-05,2025-06-10,signal,1.005661853537906,1.005661853537906,250000.0,501163.35037231445,501163.35037231445,250000.0,249670.26776123047,2.0073008887529884,3251.843719482422,1617.697723388672,0.0130073748779296,0.0064707908935546,0.9,0.5,26727.208055324056,128803.28927786993,347.6508146160197,833.4591513191195,-485.8083367030998,True
