entry_z,exit_z,hr_thresh,resid_val,avg_sharpe,std_sharpe,total_trades,avg_win_rate,total_pnl,score
2.2,1.4,0.6,45,0.04405018073017663,0.11297086269615116,138,0.5536904761904762,138653.90064430237,-0.01243525061789895
2.2,1.0,0.8,45,0.051746424295886245,0.1287525692502991,160,0.5448412698412698,142326.3647928238,-0.012629860329263304
2.2,0.6,0.8,30,0.041730381199820275,0.11581810619101651,164,0.548611111111111,50260.60977554321,-0.01617867189568798
1.8,0.6,0.4,60,0.06484293877698763,0.1623140508237992,348,0.532997372997373,315668.94998931885,-0.016314086634911976
1.8,1.4,0.4,60,0.056858897018838235,0.15001768362960974,386,0.5462810337810338,259000.55771636963,-0.018149944795966634
2.2,0.6,0.8,45,0.049762065764436134,0.1368764194219242,160,0.5185978835978836,121097.2483882904,-0.01867614394652596
2.2,0.6,0.6,30,0.04471276797296483,0.1273076635483506,122,0.5450396825396825,37856.746505737305,-0.018941063801210474
1.8,1.0,0.4,30,0.03965975240140886,0.11729900074640366,246,0.5445482295482296,136074.91485977173,-0.018989747971792974
1.8,1.0,0.6,30,0.03574506817792526,0.1105698576101913,346,0.5599052935082347,237809.7159090042,-0.019539860627170384
1.8,0.6,0.8,45,0.049141716061415854,0.1378139747412511,476,0.5176132119514473,264343.20572662354,-0.019765271309209693
1.8,1.4,0.6,30,0.03335093101847235,0.10882658603357323,360,0.5687462809521633,198938.43343257904,-0.021062361998314266
1.8,0.6,0.4,30,0.04352410377610484,0.12951526680280542,238,0.5372077922077921,161215.70105552673,-0.02123352962529787
1.8,0.6,0.6,60,0.06399668169505637,0.17046182077218824,424,0.5308180036624309,346183.46532058716,-0.02123422869103775
1.8,1.4,0.4,30,0.038569212852956364,0.12141465396560293,254,0.5588736263736264,109937.18470478058,-0.0221381141298451
1.8,1.4,0.8,30,0.02693844909042397,0.09999172224700174,452,0.5646476617064853,176591.72911262515,-0.0230574120330769
1.8,1.4,0.8,60,0.05477242216161711,0.15833153261715402,514,0.5541186764756559,307688.3679513931,-0.0243933441469599
2.2,1.0,0.6,60,0.06344191459077507,0.1770272663008831,166,0.52255291005291,83160.04024219513,-0.025071718559666487
2.2,1.4,0.8,45,0.03171282208081104,0.11585959941146745,162,0.5751587301587302,101125.07200431824,-0.026216977624922685
2.2,1.4,0.6,60,0.05549065844219397,0.16655282388899803,168,0.538888888888889,52994.10288715362,-0.027785753502305048
1.8,1.0,0.4,60,0.055910455111139026,0.16853615089494015,360,0.531517094017094,277338.05040359497,-0.028357620336331046
2.2,1.0,0.6,30,0.03431766406693488,0.12589549598544045,124,0.5600396825396826,31753.557261466976,-0.028630083925785345
2.2,1.0,0.8,30,0.028653976043058187,0.11669863260613522,166,0.5568121693121693,30216.703285217285,-0.029695340260009424
2.2,1.4,0.6,30,0.03112764863865464,0.13037682514292348,126,0.5639285714285713,23379.357813835144,-0.0340607639328071
1.8,1.0,0.8,60,0.05363901177593153,0.18108819924736255,480,0.5350750224434435,315821.57383441925,-0.03690508784774975
1.8,1.4,0.6,60,0.04438974200663402,0.1642582255722595,464,0.5438378195741232,243935.0520620346,-0.037739370779495726
2.2,1.4,0.8,30,0.016234336659748834,0.11251820365481832,168,0.5748677248677249,4128.3143854141235,-0.04002476516766033
1.8,1.0,0.6,60,0.04834380355954427,0.1867430219254997,436,0.5211526349181148,259376.16742134094,-0.04502770740320559
