selected_book_origin,selected_book,window,start_index,start_A,start_B,mechanism,comparison,different_weight_days,identical_weight_days,mean_abs_daily_weight_difference,arithmetic_return_gap_different_weight_days,arithmetic_return_gap_identical_weight_days,arithmetic_return_gap_total,pnl_gap_different_weight_days,pnl_gap_identical_weight_days,pnl_gap_total,log_equity_gap_different_weight_days,log_equity_gap_identical_weight_days,log_equity_gap_total,final_equity_gap,different_weight_share_of_arithmetic_gap,identical_weight_share_of_arithmetic_gap,different_weight_share_of_log_gap,identical_weight_share_of_log_gap,allocator_months,allocator_different_months,allocator_identical_months,allocator_different_month_fraction,allocator_mean_abs_a_weight_difference,allocator_max_abs_a_weight_difference,allocator_largest_difference_month,allocator_largest_difference,daily_different_weight_days,daily_identical_weight_days,daily_different_weight_fraction,daily_mean_abs_weight_difference,daily_max_abs_weight_difference
v1_selected,old_v1_winner,recent,4,2023-05-01,2024-03-01,A,v1_matched_to_v2_minus_v2,42,368,0.06146341463414635,0.04002923282658588,0.006507918793982358,0.04653715162056823,41176.40506570439,8070.901230689533,49247.306296393916,0.04077721762991514,0.006599984865340455,0.047377202495255594,49247.30629639409,0.8601564864338191,0.13984351356618105,0.8606928117800668,0.1393071882199331,20,2,18,0.1,0.06000000000000001,0.8,2025-04-01,0.8,42,368,0.1024390243902439,0.06146341463414635,0.8
v1_selected,old_v1_winner,recent,4,2023-05-01,2024-03-01,B,actual_v1_minus_v2,42,368,0.06146341463414635,0.08840144438223052,0.07814203883546117,0.1665434832176917,92810.22906297236,87691.47345119342,180501.70251416578,0.08719216677562462,0.07548626053027852,0.16267842730590315,180501.70251416578,0.5308009816672296,0.46919901833277045,0.5359786679746237,0.4640213320253762,20,2,18,0.1,0.06000000000000001,0.8,2025-04-01,0.8,42,368,0.1024390243902439,0.06146341463414635,0.8
v1_selected,old_v1_winner,recent,4,2023-05-01,2024-03-01,B,v1_matched_to_v2_minus_v2,42,368,0.06146341463414635,0.04036495690324528,0.0056471876249488216,0.04601214452819409,41621.105983644455,7396.780072922093,49017.886056566545,0.041127803796548505,0.0057311057448536885,0.04685890954140219,49017.88605656731,0.8772674544328513,0.12273254556714888,0.8776944277845398,0.12230557221546032,20,2,18,0.1,0.06000000000000001,0.8,2025-04-01,0.8,42,368,0.1024390243902439,0.06146341463414635,0.8
v1_selected,old_v1_winner,historical,0,2014-01-01,2014-11-01,A,actual_v1_minus_v2,83,1175,0.026391096979332274,0.06378261348828919,0.18520655364474886,0.2489891671330381,73830.18619654793,251850.04105649935,325680.2272530473,0.06076149750413777,0.17605768640333594,0.23681918390747375,325680.2272530473,0.25616621888698204,0.7438337811130178,0.25657337594693147,0.7434266240530684,60,4,56,0.06666666666666667,0.02666666666666667,0.4,2015-09-01,0.4,83,1175,0.06597774244833068,0.026391096979332274,0.4
v1_selected,old_v1_winner,historical,0,2014-01-01,2014-11-01,A,v1_matched_to_v2_minus_v2,83,1175,0.026391096979332274,0.0025730723381016517,0.021528370446184383,0.024101442784286033,2791.1088651314694,26497.568347503202,29288.677212634662,0.0023406924860256977,0.021405697648133958,0.02374639013415966,29288.67721263366,0.10676009569764332,0.8932399043023568,0.09857045524820904,0.9014295447517907,60,4,56,0.06666666666666667,0.02666666666666667,0.4,2015-09-01,0.4,83,1175,0.06597774244833068,0.026391096979332274,0.4
v1_selected,old_v1_winner,historical,0,2014-01-01,2014-11-01,B,actual_v1_minus_v2,83,1175,0.026391096979332274,0.06618234308666221,0.1768268013491015,0.24300914443576377,76812.3142386612,237851.64563374105,314663.95987240225,0.06321248622924566,0.16775629836831119,0.23096878459755685,314663.95987240225,0.2723450726116878,0.727654927388312,0.273684109908566,0.7263158900914339,60,4,56,0.06666666666666667,0.02666666666666667,0.4,2015-09-01,0.4,83,1175,0.06597774244833068,0.026391096979332274,0.4
v1_selected,old_v1_winner,historical,0,2014-01-01,2014-11-01,B,v1_matched_to_v2_minus_v2,83,1175,0.026391096979332274,0.0029781522398710774,0.023127435784884926,0.026105588024756005,3245.1938019218287,28349.270273273807,31594.46407519563,0.002749213721858588,0.02300404388414047,0.025753257605999058,31594.46407519281,0.11408102499154155,0.8859189750084584,0.10675207633608946,0.8932479236639106,60,4,56,0.06666666666666667,0.02666666666666667,0.4,2015-09-01,0.4,83,1175,0.06597774244833068,0.026391096979332274,0.4
v2_selected,current_v2_rank_average_leader,recent,0,2023-01-01,2023-01-01,A,actual_v1_minus_v2,84,412,0.08387096774193549,-0.05666252310012129,0.12929335545316153,0.07263083235304027,-65641.0053850133,140949.21113154432,75308.20574653102,-0.05787285548481156,0.11852994010511833,0.060657084620306764,75308.20574653102,-0.7801442068665684,1.780144206866568,-0.9540988632585368,1.954098863258537,24,4,20,0.16666666666666666,0.08333333333333333,0.8,2024-11-01,0.8,84,412,0.1693548387096774,0.08387096774193549,0.8
v2_selected,current_v2_rank_average_leader,recent,0,2023-01-01,2023-01-01,A,v1_matched_to_v2_minus_v2,84,412,0.08387096774193549,-0.012968055919101659,-0.02700504935773544,-0.03997310527683711,-13642.933987238794,-33388.19094103978,-47031.12492827857,-0.012952263270927931,-0.0268845351908927,-0.039836798461820616,-47031.124928277684,0.3244195273119337,0.675580472688066,0.3251331374769314,0.6748668625230689,24,4,20,0.16666666666666666,0.08333333333333333,0.8,2024-11-01,0.8,84,412,0.1693548387096774,0.08387096774193549,0.8
v2_selected,current_v2_rank_average_leader,recent,0,2023-01-01,2023-01-01,B,actual_v1_minus_v2,84,412,0.08387096774193549,-0.05771370284413936,0.13425700111631036,0.07654329827217102,-67769.76039665984,147831.58391547482,80061.82351881498,-0.0589801890408842,0.12333203700555523,0.06435184796467103,80061.82351881498,-0.7540007309186262,1.754000730918626,-0.9165267339838344,1.9165267339838346,24,4,20,0.16666666666666666,0.08333333333333333,0.8,2024-11-01,0.8,84,412,0.1693548387096774,0.08387096774193549,0.8
v2_selected,current_v2_rank_average_leader,recent,0,2023-01-01,2023-01-01,B,v1_matched_to_v2_minus_v2,84,412,0.08387096774193549,-0.012919698614939946,-0.024292490032517964,-0.03721218864745791,-13721.571136863333,-30142.907802930713,-43864.47893979405,-0.012904487235623435,-0.024191564143567067,-0.0370960513791905,-43864.47893979517,0.34718996878520164,0.6528100312147984,0.34786686873262124,0.6521331312673787,24,4,20,0.16666666666666666,0.08333333333333333,0.8,2024-11-01,0.8,84,412,0.1693548387096774,0.08387096774193549,0.8
v2_selected,current_v2_rank_average_leader,recent,1,2023-02-01,2023-02-01,A,actual_v1_minus_v2,58,417,0.06484210526315788,-0.03281050686262171,0.05477973803793247,0.02196923117531076,-36839.23168421793,53360.15721240011,16520.925528182182,-0.03310914485098002,0.04782016922746655,0.014711024376486546,16520.925528182182,-1.4934754248248105,2.4934754248248105,-2.250634898267195,3.2506348982671933,23,3,20,0.13043478260869565,0.06956521739130435,0.8,2025-11-01,0.8,58,417,0.12210526315789473,0.06484210526315788,0.8
v2_selected,current_v2_rank_average_leader,recent,1,2023-02-01,2023-02-01,A,v1_matched_to_v2_minus_v2,58,417,0.06484210526315788,-0.024616666961728813,-0.001438475789124444,-0.02605514275085325,-27174.632471313456,-1227.814629123388,-28402.44710043684,-0.02468031557953114,-0.0011277090486494492,-0.025808024628180597,-28402.447100437945,0.9447910992897043,0.05520890071029593,0.956303937829551,0.04369606217044865,23,3,20,0.13043478260869565,0.06956521739130435,0.8,2025-11-01,0.8,58,417,0.12210526315789473,0.06484210526315788,0.8
v2_selected,current_v2_rank_average_leader,recent,1,2023-02-01,2023-02-01,B,actual_v1_minus_v2,58,417,0.06484210526315788,-0.028852302376760355,0.04266878664331506,0.01381648426655471,-31835.331015313277,38756.86565666436,6921.534641351085,-0.029135259457767335,0.03542066151403927,0.006285402056271944,6921.534641351085,-2.088252106695663,3.0882521066956627,-4.635385166601149,5.635385166601147,23,3,20,0.13043478260869565,0.06956521739130435,0.8,2025-11-01,0.8,58,417,0.12210526315789473,0.06484210526315788,0.8
