selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,case,sizing_mode,allocator_source,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,final_equity,rejected_entries
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v2_sizing_v2_allocator,v2,v2,0.0769204856865715,0.04438616242376603,0.05509713818905166,0.8154043224405962,-0.031235798088710354,1076920.4856865716,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v1_sizing_v2_allocator,v1,v2,0.1352935494446421,0.07719902326382111,0.09173605044960807,0.855705785734149,-0.05690815911344205,1135293.5494446422,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v2_sizing_v1_allocator,v2,v1,0.09171039768719957,0.05276814675848396,0.05244921002034686,1.006400302545767,-0.030644188595677524,1091710.3976871995,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v1_sizing_v1_allocator,v1,v1,0.1880552854851798,0.11172445976425949,0.08815304471469088,1.2452476567277955,-0.05541041768724153,1188055.2854851799,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v2_sizing_v2_allocator,v2,v2,0.01504342433642103,0.009219585662114005,0.05326321536554503,0.19888603409016203,-0.056940273651361895,1015043.4243364211,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v1_sizing_v2_allocator,v1,v2,0.0813508404573664,0.049245332107207496,0.08653581466426284,0.5987473334920861,-0.08458808888531921,1081350.8404573663,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v2_sizing_v1_allocator,v2,v1,0.08195136159920202,0.04960343592168415,0.053401253987924995,0.9330544000021035,-0.03628086792467211,1081951.361599202,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v1_sizing_v1_allocator,v1,v1,0.20225814402733455,0.11987444673247794,0.08723980350724807,1.341111549461237,-0.05542154051878878,1202258.1440273346,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v2_sizing_v2_allocator,v2,v2,0.021756441513169467,0.013316750113105513,0.05307517747303999,0.275740885228193,-0.05725925657269637,1021756.4415131694,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v1_sizing_v2_allocator,v1,v2,0.09414276193952675,0.05685695445633687,0.08591010733947667,0.6866296202401438,-0.08483389489342641,1094142.7619395268,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v2_sizing_v1_allocator,v2,v1,0.08946122628020436,0.054075282915149625,0.05302065520686509,1.0195672404370102,-0.03635504502671061,1089461.2262802043,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v1_sizing_v1_allocator,v1,v1,0.5444887771118547,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,1544488.7771118546,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v2_sizing_v2_allocator,v2,v2,0.21880854985880438,0.04043372923994992,0.039526709261098594,1.0225525213643203,-0.04986683592651331,1218808.5498588043,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v1_sizing_v2_allocator,v1,v2,0.5608403184445223,0.09328446288598347,0.07878058283857264,1.1712360664155606,-0.08952974140493253,1560840.3184445223,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v2_sizing_v1_allocator,v2,v1,0.20754180306179038,0.03849994261277345,0.04036949325446311,0.955945565774791,-0.04986683592651253,1207541.8030617903,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v1_sizing_v1_allocator,v1,v1,0.5257488077532957,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,1525748.8077532956,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v2_sizing_v2_allocator,v2,v2,0.21108484788088933,0.03910960856678125,0.039410517330916606,0.993131478411063,-0.04965148699019817,1211084.8478808894,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v1_sizing_v2_allocator,v1,v2,0.5391817679217643,0.09022850715251418,0.07860465392002626,1.1380467502344123,-0.08866595043142211,1539181.7679217644,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v2_sizing_v1_allocator,v2,v1,0.2003793331468482,0.03726308572056447,0.04022560126872413,0.9295892401174618,-0.04965148699019806,1200379.3331468483,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,A,v1_sizing_v1_allocator,v1,v1,0.2795748910589342,0.13343413481391098,0.13188035020217556,1.0150451879841105,-0.09815660611429855,1279574.8910589342,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,A,v2_sizing_v2_allocator,v2,v2,0.2042666853124051,0.09903703001422826,0.07141465969470516,1.3577515678348944,-0.032000433551497065,1204266.685312405,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,A,v1_sizing_v2_allocator,v1,v2,0.33230719640817785,0.15692994157105367,0.1296768409404541,1.1883704173398761,-0.06276895905597268,1332307.196408178,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,A,v2_sizing_v1_allocator,v2,v1,0.17672123821014063,0.08619236136198105,0.07267205450801119,1.1736831909998202,-0.05530938368583638,1176721.2382101407,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,B,v1_sizing_v1_allocator,v1,v1,0.28458647956066296,0.13568737287050503,0.13278629099584993,1.0239887952339628,-0.09979466514809932,1284586.479560663,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,B,v2_sizing_v2_allocator,v2,v2,0.20452465604184944,0.099156636868442,0.07155333108678322,1.356788550111098,-0.0322069071989618,1204524.6560418494,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,B,v1_sizing_v2_allocator,v1,v2,0.338758762853151,0.15977289917906545,0.13044879007583804,1.2009345257095319,-0.06320538038402523,1338758.762853151,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,0,2023-01-01,2023-01-01,B,v2_sizing_v1_allocator,v2,v1,0.17661290858871248,0.0861415560553842,0.0728619429142357,1.1701801933674,-0.055849847578538836,1176612.9085887126,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,A,v1_sizing_v1_allocator,v1,v1,0.13131097585233875,0.06764448589194072,0.11008424774127447,0.6485379553700179,-0.05816423792553338,1131310.9758523388,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,A,v2_sizing_v2_allocator,v2,v2,0.11479005032415524,0.05934439466691077,0.06512035682332261,0.9173561169894056,-0.03475292492712412,1114790.0503241553,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,A,v1_sizing_v2_allocator,v1,v2,0.16764295834530207,0.08569980688888834,0.11097763067193407,0.7953593023116399,-0.05816423792553338,1167642.9583453021,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,A,v2_sizing_v1_allocator,v2,v1,0.09403620510741639,0.04883540946237197,0.06475773991368182,0.7681424993307144,-0.03475292492712412,1094036.2051074165,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,B,v1_sizing_v1_allocator,v1,v1,0.10467233125489939,0.05423273393180983,0.11177509394420163,0.5273008574127843,-0.08081661677725382,1104672.3312548995,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,B,v2_sizing_v2_allocator,v2,v2,0.09775079661354846,0.05072317451306163,0.06578101564255046,0.784559099231818,-0.04489055298882105,1097750.7966135484,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,B,v1_sizing_v2_allocator,v1,v2,0.136542418617847,0.0702608757878298,0.11221879483359302,0.6601507147656516,-0.08081661677725382,1136542.418617847,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,1,2023-02-01,2023-02-01,B,v2_sizing_v1_allocator,v2,v1,0.07977699450543718,0.041560739993249385,0.06560118910648613,0.6529970918045515,-0.04489055298882105,1079776.994505437,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,A,v1_sizing_v1_allocator,v1,v1,0.43908660341982975,0.22722416505406318,0.14582355465334004,1.475849319154988,-0.08130973300865418,1439086.6034198299,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,A,v2_sizing_v2_allocator,v2,v2,0.24323817014977522,0.13028200593047612,0.0861013085803554,1.4648984407899828,-0.04671882106843128,1243238.1701497752,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,A,v1_sizing_v2_allocator,v1,v2,0.41461900430880516,0.21544332278606637,0.14602839174770357,1.4078693263086188,-0.08130973300865396,1414619.004308805,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,A,v2_sizing_v1_allocator,v2,v1,0.25705445177225505,0.1373304738064618,0.08690643255423187,1.5236956990295998,-0.046718821068430616,1257054.4517722551,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,B,v1_sizing_v1_allocator,v1,v1,0.43171978625863505,0.22368641918362386,0.14677894625655324,1.4474943736823214,-0.08147813797036707,1431719.786258635,0
