selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,sizing_mode,exposure_mode,full_matrix_replay_case,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,n_days,final_equity_multiple,mean_gross,median_gross,mean_gross_leverage,median_gross_leverage,return_on_gross,median_return_on_gross,active_days,efficiency_days,allocator_different_weight_days,allocator_identical_weight_days,allocator_different_weight_fraction,allocator_mean_abs_daily_weight_difference,allocator_max_abs_daily_weight_difference,v1_allocator_months,v1_v2_allocator_different_months,v1_v2_allocator_mean_abs_monthly_difference,v1_v2_allocator_max_abs_monthly_difference
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v1,matched_to_v2,,1092358.4568381833,0.09235845683818344,0.053134347040324936,0.048916454345520076,1.0826450319939607,-0.028956205794324563,430,1.0923584568381834,485175.70056049724,430255.07282645494,0.4661981023369742,0.39769962393420893,0.0003996108409574965,0.000308300520212563,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v2,matched_to_v1,,1154422.6369017907,0.1544226369017907,0.08779909589289603,0.09748608234542307,0.9110270550796006,-0.0593545740905862,430,1.1544226369017907,929198.65571098,875966.5602208024,0.8669551755188117,0.8225227224704041,0.0003642332770169224,0.0001670936608794936,425,425,62,368,0.14418604651162792,0.057674418604651154,0.4,21,3,0.05714285714285715,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v1,actual,case_1_v1_sizing_v1_allocator,1188055.2854851799,0.1880552854851798,0.11172445976425949,0.08815304471469088,1.2452476567277955,-0.05541041768724153,410,1.1880552854851798,1018394.0020968703,960021.0418046563,0.9332906125499643,0.8538948860060886,0.00013423699511872164,0.00015977023723420363,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v2,actual,case_2_v2_sizing_v2_allocator,1015043.4243364211,0.01504342433642103,0.009219585662114005,0.05326321536554503,0.19888603409016203,-0.056940273651361895,410,1.015043424336421,478152.3464759816,457012.7228576457,0.47282640352341054,0.44664314217302176,-1.6446121960598375e-06,0.00022378830505190682,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v1,matched_to_v2,,1064290.7306328146,0.06429073063281465,0.03903977265024339,0.04243422106988277,0.9237033492817901,-0.02923428057924493,410,1.0642907306328147,478152.3464759816,457012.7228576457,0.4630814045164871,0.43473263240633503,0.00013423699511872148,0.00015977023723420363,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,A,v2,matched_to_v1,,1064112.5810055684,0.06411258100556849,0.038932870238687745,0.11555165669617624,0.3876211242485375,-0.11289092859777061,410,1.0641125810055685,1018394.0020968703,960021.0418046563,0.9843579642285727,0.9157457713526717,-1.6446121960598546e-06,0.00022378830505190682,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v1,actual,case_1_v1_sizing_v1_allocator,1202258.1440273346,0.20225814402733455,0.11987444673247794,0.08723980350724807,1.341111549461237,-0.05542154051878878,410,1.2022581440273346,994434.7274771241,914516.8779759358,0.9106669841125539,0.8356121168499536,0.000150987547661093,0.00012247459806173782,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v2,actual,case_2_v2_sizing_v2_allocator,1021756.4415131694,0.021756441513169467,0.013316750113105513,0.05307517747303999,0.275740885228193,-0.05725925657269637,410,1.0217564415131695,469252.3170050081,443947.4279347973,0.4633821454482814,0.4399065672848541,1.7305551329072525e-05,0.00020901885405931535,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v1,matched_to_v2,,1070774.327569737,0.070774327569737,0.04292571125976408,0.04209204643583863,1.0195662892965514,-0.029300391501234202,410,1.070774327569737,469252.3170050081,443947.4279347973,0.4541463713948247,0.42497034978870163,0.00015098754766109299,0.00012247459806173782,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,4,2023-05-01,2024-03-01,B,v2,matched_to_v1,,1079035.5350953247,0.07903553509532468,0.04786394722990761,0.11491741915613919,0.46360475944420215,-0.1134818722506552,410,1.0790355350953247,994434.7274771241,914516.8779759358,0.9589951108596282,0.8934133427837774,1.730555132907257e-05,0.00020901885405931535,407,407,42,368,0.1024390243902439,0.06146341463414635,0.8,20,2,0.06000000000000001,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v1,actual,case_1_v1_sizing_v1_allocator,1544488.7771118546,0.5444887771118547,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,1258,1.5444887771118547,985388.5879245246,816378.2808771994,0.7549381815632992,0.6190744130382845,0.0001574706409795246,0.00031024847281492437,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v2,actual,case_2_v2_sizing_v2_allocator,1218808.5498588043,0.21880854985880438,0.04043372923994992,0.039526709261098594,1.0225525213643203,-0.04986683592651331,1258,1.2188085498588044,440904.0839614359,374568.20777262433,0.3903111568241687,0.3262427114773682,0.00011704082998329698,0.000315687829964306,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v1,matched_to_v2,,1248097.227071435,0.248097227071435,0.045394683956900383,0.04133207415418125,1.094696772779318,-0.047326323793304925,1258,1.248097227071435,440904.0839614359,374568.20777262433,0.38567394811219324,0.32218062740836023,0.00015747064097952455,0.00031024847281492437,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,A,v2,matched_to_v1,,1494893.4276084816,0.49489342760848154,0.08387092503950844,0.07775083851224726,1.0746195315667775,-0.09689223867270269,1258,1.4948934276084815,985388.5879245246,816378.2808771994,0.7646281551622088,0.6327710274506986,0.00011704082998329698,0.000315687829964306,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v1,actual,case_1_v1_sizing_v1_allocator,1525748.8077532956,0.5257488077532957,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,1258,1.5257488077532957,973033.7608682984,801346.3701385041,0.745489174749091,0.6019776373657885,0.00015618909669306403,0.00032617412581190314,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v2,actual,case_2_v2_sizing_v2_allocator,1211084.8478808894,0.21108484788088933,0.03910960856678125,0.039410517330916606,0.993131478411063,-0.04965148699019817,1258,1.2110848478808893,436570.06707221124,366539.4387071511,0.3867336486075128,0.32221200030064295,0.00011261433585844098,0.0003104609905247432,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,historical,0,2014-01-01,2014-11-01,B,v1,matched_to_v2,,1242679.3119560878,0.24267931195608772,0.04448405999076965,0.04120780779228442,1.0767193400415638,-0.04689549167099227,1258,1.2426793119560877,436570.06707221124,366539.4387071511,0.38202363530539907,0.31720095241112894,0.00015618909669306403,0.00032617412581190314,1255,1255,83,1175,0.06597774244833068,0.026391096979332274,0.4,60,4,0.02666666666666667,0.4
