mechanism,A,B,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries
A,sp500-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.3156046283479203,0.0218055082973367,0.0746303889275575,-0.1351745969940161,0.2010674741159931,0.0101230973413881,0.0586793217004497,-0.0757924625917445,0.2377192949873351,0.013218513145604,0
A,sp500-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,0.9636604417789592,0.0975544499411285,0.1039411680677127,-0.084812835903882,0.2860636380907863,0.0210745466871953,0.08579051837966,-0.2148154642227208,0.4858980261792375,0.0408469237965934,0
A,sp500-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,1.0712406088977229,0.080723751270801,0.0804439023400803,-0.0869947954151186,0.1869188523830802,0.012420127906759,0.0876288718132219,-0.23482671358855,0.3905645831095686,0.0299579145059429,0
A,sp500-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,1.0593203955612258,0.0962346704863743,0.0885217363282922,-0.0810955004501778,0.7216647846367115,0.0472173133312234,0.067053814170539,-0.1246272205744034,0.8220691203493111,0.0595192890488708,0
A,sp500-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_bd7,0.5041020860930437,0.0345341361930403,0.0702974981716997,-0.0878277432286094,0.1678114411754624,0.0083637608351694,0.0606556558232289,-0.1770152599090315,0.2660682731141859,0.0150459727199241,0
A,sp500-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_noscreen,-0.0071013631770176,-0.0074510401662541,0.1164853305337074,-0.1389772123955233,0.5094939119443339,0.0474359447008132,0.1008316659887983,-0.1541015456935491,0.355787580555935,0.0324687620907992,0
A,sp500-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,-0.5312723089401837,-0.0415503113748569,0.0803430788815709,-0.1102089543768462,0.8425881451864903,0.064817293332309,0.0781194407103005,-0.0729934190364132,0.4757309040801176,0.0351960070865376,0
A,sp500-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.24314877813532,0.018665268232628,0.0934386497634904,-0.1004276360657964,-0.1002408432285314,-0.0081090909235364,0.0620785537246326,-0.138437395127055,0.0207711424801714,-0.0010499899790378,0
A,sp500-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_bd7,-0.4235202542331004,-0.0318323624824841,0.0705721545177027,-0.1025235623164309,0.2120224253379897,0.0090774373236268,0.0480443579832936,-0.0690240744303755,-0.0060994410935418,-0.0018180807232315,0
A,sp500-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_noscreen,-0.1277887417773447,-0.0056691146496531,0.0437942383191212,-0.0610673560886814,-0.667911473953529,-0.0273222974360251,0.0402591603623311,-0.176587365180157,-0.51080179452204,-0.0215966750709935,0
A,sp500-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_bd7,-0.3301221660224127,-0.0129824570695016,0.035608807765694,-0.0669019101026573,-0.4252420021710743,-0.0161728826778161,0.0367512003392098,-0.1014719191039075,-0.402664300472312,-0.015311273333817,0
A,sp500-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_noscreen,0.033803098293103,0.000907551015316,0.0380275640739284,-0.0411063650272126,-0.5490477664467375,-0.0205238809395302,0.0365516944022828,-0.1392272270260391,-0.3899501298949196,-0.0149489054021437,0
A,sp500-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_bd7,-0.7636251717326041,-0.0255979817789117,0.0341485248968729,-0.07319553584623,-0.3017808265334473,-0.0096601361051245,0.0306133256252082,-0.0726499551194063,-0.4268141713217602,-0.0138442759827732,0
