A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,1.1622916495764026,-0.2503718997296314,0.173499225816498,-0.2503718997296314,0.10394632912562529,-0.021048447108295343,45,340,192.5,331,147,252
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,1.1874040793179526,0.37423298173250064,0.6075764390805679,0.37423298173250064,0.08316415759409282,0.020400258691694262,41,73,57.0,45,5,31
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,1.3643914547245526,0.32857352513606697,0.6615780605299648,0.32857352513606697,0.11205184954587288,0.01757858515779187,16,90,53.0,62,4,15
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_bd7,1.0232322468979473,0.4212607426099721,0.6159632267249653,0.4212607426099721,0.06944551393180398,0.019368521973131658,94,62,78.0,32,22,30
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide3m_noscreen,0.653185258558903,-0.4348486834605447,-0.1747067643641053,-0.4348486834605447,0.07042686699581988,-0.06047159118209766,228,416,322.0,413,377,428
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide3m_bd7,0.4247061302254157,-0.3276373224958893,-0.2256586310539165,-0.3276373224958893,0.03133943877356675,-0.08025843198721583,347,379,363.0,372,425,446
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide1m_noscreen,1.15040878911372,-0.7139462190238345,-0.0949021535266441,-0.7139462190238345,0.08929857259972503,-0.040561188371182944,50,470,260.0,470,279,398
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide1m_bd7,0.5324731114789832,-0.27001020967908257,-0.0394312058375478,-0.27001020967908257,0.0349989192409295,-0.01696021031500905,290,355,322.5,346,378,365
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.6851379801409153,0.08984005105087398,0.2628411755283074,0.08984005105087398,0.05330158226750457,0.0038609318674858173,215,191,203.0,174,167,194
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_bd7,0.8798935210641309,0.10271100960059296,0.3345716861655372,0.10271100960059296,0.052276362650806485,0.0037770393403040448,132,183,157.5,165,104,154
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.6956826703671937,0.08166413858167389,0.2664078069825558,0.08166413858167389,0.04088668410511294,0.002857042214549965,211,193,202.0,176,164,189
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_bd7,0.683980807740257,-0.2569063119635779,0.0519018475800849,-0.2569063119635779,0.03477374508225743,-0.010448569099920646,217,345,281.0,336,318,317
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.5138246622857341,0.12022722888127259,0.2235448593796229,0.12022722888127259,0.041410485611950196,0.006647953488175151,305,174,239.5,155,229,218
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.1825831456791002,0.5864861376962105,0.4869948872271957,0.1825831456791002,0.010967887645766772,0.03737066622225327,445,34,239.5,127,229,75
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.8324742646403482,-0.04711283427065838,0.2219660171779571,-0.04711283427065838,0.055870264293704563,-0.004064276114298937,149,258,203.5,245,168,220
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.5516762523830089,0.01035593801301364,0.1894746841769031,0.01035593801301364,0.030243236251749517,-0.0003503215819451455,278,229,253.5,215,267,238
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_noscreen,0.7085460486483564,-0.8067657474901415,-0.3866693705809703,-0.8067657474901415,0.030819812296556216,-0.030210957336284316,205,481,343.0,481,400,482
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_bd7,0.9108521663997818,-0.44226002057426594,-0.027753652758596,-0.44226002057426594,0.040767119866777876,-0.01491133659800703,124,418,271.0,415,299,359
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_noscreen,0.5820171242364455,-0.5691658589955689,-0.2309792748313727,-0.5691658589955689,0.023194624881075133,-0.018658349063777724,257,446,351.5,445,410,449
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide1m_bd7,0.9105977114831763,-0.44443282451809374,0.0349357953248466,-0.44443282451809374,0.044640556878389324,-0.013105383086353228,125,419,272.0,416,301,327
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide3m_noscreen,0.43112009899514836,-0.7430189930578561,-0.3117631209324158,-0.7430189930578561,0.03731570291606674,-0.04144917218970057,345,474,409.5,474,465,468
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide3m_bd7,0.752137016615378,-0.21164712108364442,0.0934719014596461,-0.21164712108364442,0.045695661861406126,-0.01014412560845368,183,323,253.0,313,265,292
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide1m_noscreen,0.7097358542293228,-0.7746531194779769,-0.2591419126646536,-0.7746531194779769,0.05054283859920559,-0.038674256998167955,203,477,340.0,477,398,456
core-2m/same_sector_slide1m_bd7,core-12m/cross_sector_slide1m_bd7,0.7747980046363856,-0.2872493011959803,0.0736674621604232,-0.2872493011959803,0.046939558822421824,-0.011867125571504489,171,363,267.0,355,291,305
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_noscreen,0.8381756771743195,0.2122915496200154,0.4155224106704575,0.2122915496200154,0.07982610172972664,0.012489847394866693,148,133,140.5,107,83,108
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,0.7648542230283883,0.05580891771403138,0.2718222499222674,0.05580891771403138,0.04925235623433122,0.0015361715288741973,178,202,190.0,185,142,183
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_noscreen,1.1805516054500838,0.001711043139591651,0.3962472547454406,0.001711043139591651,0.0954901562160948,-0.0014558431196167732,42,232,137.0,218,77,120
