A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide3m_bd7,0.67092852829813,-0.34484951513477363,-0.14831597543497843,-0.34484951513477363,0.058838347959599614,-0.05785596909780677,224,394,309.0,387,361,428
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_noscreen,1.2283228081612858,-0.46192428784726264,0.11099201126914744,-0.46192428784726264,0.1149732253979665,-0.03179674483920425,16,434,225.0,431,203,294
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_bd7,0.6564527900429629,-0.18540543573960494,0.10739819671203148,-0.18540543573960494,0.05158542110285409,-0.011745859098023392,231,324,277.5,313,316,296
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.8788129404462623,0.0006451325860646917,0.2709639893457719,0.0006451325860646917,0.07924271579074382,-0.0026964912642205574,146,242,194.0,225,144,192
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.9303182627315835,-0.08428862272548937,0.2404192715064351,-0.08428862272548937,0.06651347264898515,-0.006153251648345348,120,278,199.0,263,157,211
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.7790554738890083,0.12494256719013279,0.34460944487979134,0.12494256719013279,0.0626846834450645,0.0056214860984236115,180,180,180.0,160,123,147
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.6764819851052706,-0.20209368014658105,0.10338165252868488,-0.20209368014658105,0.045724647880733604,-0.010616012174246459,221,335,278.0,324,318,298
core-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.6701010755191292,0.16188604223735906,0.2959953744896461,0.16188604223735906,0.06001371434885896,0.010960639333632338,225,158,191.5,137,140,171
core-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.6195977353657826,0.49166015200974467,0.5315805360744115,0.49166015200974467,0.046625150745956835,0.03147595500863409,244,56,150.0,23,85,61
core-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,0.7975244213368908,-0.2295173672510046,0.1131317184361074,-0.2295173672510046,0.06582743239813035,-0.01567945970831064,170,350,260.0,339,284,291
core-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.6909546801028649,-0.273502852076643,0.08395336680340497,-0.273502852076643,0.05089656649241867,-0.013617835132800349,215,373,294.0,364,340,313
core-2m/same_sector_slide1m_noscreen,core-12m/same_sector_slide3m_noscreen,0.9700557845683833,-0.7864543150488876,-0.21873057194267384,-0.7864543150488876,0.06376337049053182,-0.03951986616736047,102,480,291.0,480,336,454
core-2m/same_sector_slide1m_noscreen,core-12m/same_sector_slide3m_bd7,1.0292475878241092,-0.378603901160428,0.11702512121286632,-0.378603901160428,0.06752559130460326,-0.017202015811264237,82,411,246.5,406,252,285
core-2m/same_sector_slide1m_noscreen,core-12m/same_sector_slide1m_noscreen,0.9516728788831286,-0.34696633998989435,0.12574601905059976,-0.34696633998989435,0.06702228482149271,-0.016101004036892963,109,396,252.5,389,265,280
core-2m/same_sector_slide1m_noscreen,core-12m/same_sector_slide1m_bd7,0.9212368460658655,-0.3018724210449372,0.15705121630710558,-0.3018724210449372,0.06131805529004928,-0.012647791738807479,122,383,252.5,374,265,262
core-2m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide3m_noscreen,0.719054737254401,-0.5530045291861813,-0.10360432490545121,-0.5530045291861813,0.07146418621181483,-0.038141118470630286,204,449,326.5,448,393,407
core-2m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide3m_bd7,0.92089220606777,-0.17264730632047026,0.20546122587229285,-0.17264730632047026,0.0681111535351235,-0.009944683898107098,123,313,218.0,302,189,236
core-2m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_noscreen,0.8679959591973334,-0.6946908080668636,-0.13736005648606703,-0.6946908080668636,0.07749876562813011,-0.04225911614370026,149,471,310.0,471,364,423
core-2m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_bd7,0.9031624530245488,-0.1614230436320671,0.2117508638245381,-0.1614230436320671,0.06248191077939071,-0.008426921837471513,133,305,219.0,295,192,232
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.9428165871243277,0.3018587544072857,0.506798186960925,0.3018587544072857,0.09233258625311183,0.01999916017847081,112,102,107.0,70,39,67
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.9023827112841566,0.1190165290622959,0.37945919477231965,0.1190165290622959,0.06952651634904913,0.005072061845062148,134,183,158.5,164,99,121
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_noscreen,1.1589028854771086,0.025349777967000782,0.41784577738206663,0.025349777967000782,0.10476334830493483,-0.0002542686012355633,36,223,129.5,204,57,102
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.9625198695454905,-0.007120267002084543,0.3349573310052115,-0.007120267002084543,0.0732521763630194,-0.0015649944960064444,106,245,175.5,230,118,153
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,1.2993932604129426,-0.20597678219851034,0.2453928572458765,-0.20597678219851034,0.11872184709564718,-0.018019688982680138,11,338,174.5,327,116,206
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,1.34472515853598,0.4006007302365785,0.6757109630074442,0.4006007302365785,0.09817278849679885,0.022179598129465905,8,68,38.0,37,1,14
