trade_id,pair,entry_date,exit_date,holding_days,exit_reason,hr_entry,anchor_hr,entry_drift,trade_return,trade_pnl,is_win,entry_notional,entry_score,entry_phi,entry_z,mae,mfe,fold_id
6,CVX-MPC,2020-07-31,2020-08-04,4,signal,2.0546079455794537,2.267556402655978,0.09391098577618559,0.07574684619643282,13493.58012008667,True,178140.48765930175,0.6716905074197324,0.930465850510515,2.219969253055046,2.219969253055046,0.5367237252305009,2
5,COST-PG,2020-07-30,2020-08-04,5,signal,1.1256748149508833,0.7780907959012815,0.44671395790896967,0.03383290312776955,6021.869064331055,True,177988.54096527098,2.018831591382129,0.6372684446904515,2.2559355222594917,2.2559355222594917,0.44532204702320777,2
7,EOG-MPC,2020-08-05,2020-08-12,7,signal,1.4699208778530997,1.576633774507807,0.06768401031369564,0.09473687790441361,17194.868564605713,True,181501.32181846618,1.0371776209616805,0.8968915512536925,-2.4716062899906093,-2.8802528274481602,-0.825042362332935,2
8,COP-PSX,2020-08-12,2020-08-20,8,signal,1.1181607649151024,1.1756879180012016,0.048930632190132314,0.037711353758430086,6961.380073547363,True,184596.3981600952,0.9472238507988933,0.9032186522480534,-2.374736088555811,-2.3760312115224638,-0.7598450895279997,2
9,EOG-MPC,2020-08-27,2020-08-31,4,timeout,0.9553691081067154,1.576633774507807,0.39404500680257076,0.005434151781055908,1009.9341011047363,True,185849.44657333373,0.7108596474288154,0.9327569515912187,-2.4183950573724418,-2.4183950573724418,-1.4008368143950765,2
2,KO-PEP,2020-09-04,2020-09-10,6,stop_loss,0.4742938022821934,0.4232347352048236,0.12064006762738866,-0.019163702212386283,-3447.0838775634766,False,179875.67534500122,1.0908962839280196,0.8795192696446874,-2.302887765578037,-4.968823243737529,-2.302887765578037,3
4,DIS-TMUS,2020-09-08,2020-09-14,6,signal,0.8394229058890229,0.6815234045476484,0.23168610246947882,0.024720181393257386,4445.271041870117,True,179823.56080455778,1.2408075510506966,0.8506914604472426,-2.2377576325058968,-2.2377576325058968,-0.8655546696243123,3
1,T-VZ,2020-09-02,2020-09-15,13,stop_loss,0.4947156510269457,0.847614085788372,0.4163432872085802,-0.010815418412950304,-1946.7753143310547,False,180000.0,0.35775009150520853,0.9756544396682878,3.085561025129151,4.732106845337312,2.1370195032914285,3
3,T-TMUS,2020-09-08,2020-09-15,7,signal,0.852893721633786,1.1917242502654943,0.28431957187765805,0.050337520429361356,9051.872165679932,True,179823.56080455778,0.6590334907394767,0.9330678337645807,-2.251095883486044,-2.251095883486044,0.40727856890482267,3
5,KO-PEP,2020-09-28,2020-10-13,15,max_exit_on_loss,0.36958007543407945,0.4232347352048236,0.12677281732270407,-0.03331181059401238,-6044.714218139648,False,181458.59112281798,0.8839175628964868,0.9141795653407614,2.4451051220208333,4.419781496659873,1.595067633064732,3
6,DIS-TMUS,2020-10-12,2020-10-14,2,signal,0.5698756073670719,0.6815234045476484,0.1638209288713733,0.035689063800850435,6456.762886047363,True,180917.1269405365,1.4800479972003966,0.8043995748713351,2.2316429974675316,2.2316429974675316,-0.493360906113175,3
7,HD-MCD,2020-10-22,2020-10-28,6,signal,1.2489342913833872,0.9612551392230847,0.2992745010370643,0.012304452013243294,2233.6611328125,True,181532.75988304138,0.7067160808215044,0.9276324824211679,2.2570006310612465,2.399217001038966,0.9313740866602751,3
8,HD-MCD,2020-11-04,2020-11-09,5,signal,1.3082237565936552,0.9612551392230847,0.3609537189585285,0.051281208367073734,9329.837356567383,True,181934.8188869476,0.774983400710263,0.9237455122916738,-2.3671385509951235,-2.6932881590558875,-0.1436402763355359,3
9,DIS-TMUS,2020-11-06,2020-11-09,3,signal,0.6165701907592884,0.6815234045476484,0.09530591811659311,0.07942129863807193,14451.663139343262,True,181962.06039390565,1.6167109457139992,0.7987456538855844,2.3955501584929197,2.3955501584929197,-0.26043438228470955,3
1,AMZN-LOW,2020-12-09,2020-12-24,15,max_exit_on_loss,0.5536077167512534,1.058840055935557,0.47715642825572613,-0.004279325103759766,-770.2785186767578,False,180000.0,0.9242830320110403,0.9076672355290281,2.407454674444625,2.8349479201297383,1.6665625520704992,4
2,ADBE-INTC,2020-12-18,2020-12-31,13,signal,0.89247668503483,1.5867667507822607,0.4375501726420423,0.05473197861914032,9848.553363800049,True,179941.48233398437,1.68849810042138,0.8238845031104194,-2.7216491049914344,-3.7116141022015197,-0.9373618507956848,4
4,AMZN-HD,2020-12-29,2021-01-06,8,signal,0.4125688635853425,0.5435327722125423,0.24094942443689085,0.027936941752982197,5049.089767456055,True,180731.65674682616,1.3091361971417703,0.842045748441473,-2.270162915245823,-2.270162915245823,0.3524580364201171,4
3,AMZN-LOW,2020-12-28,2021-01-06,9,signal,0.5208931948478988,1.058840055935557,0.5080529944745487,0.02942889741692014,5292.049377441406,True,179824.9286226654,1.1449995835534725,0.8658410181393381,-2.2303199352066763,-3.8877458566588,1.0148348147239474,4
5,AMZN-LOW,2021-02-01,2021-02-03,2,signal,0.858148544107721,1.058840055935557,0.18953902499515046,0.047612279037549166,8736.638687133789,True,183495.49451820372,1.3858658017931893,0.8509029060303506,-2.5018651083928916,-2.5018651083928916,-0.774298081719088,4
6,ADBE-ORCL,2021-02-11,2021-02-22,11,stop_loss,0.7583705148637578,0.6707570506633038,0.13061877488103044,0.07253489787202862,13423.894969940186,True,185068.08948188782,0.7036890364098779,0.9320555627001318,-2.3726048219882037,-4.432274421108714,6.763602069216583,4
7,AMZN-HD,2021-02-23,2021-02-25,2,stop_loss,0.44576582177186097,0.5435327722125423,0.1798731473774881,-0.025707392018783148,-4819.734725952148,False,187484.39057647705,1.5301140501449337,0.8011189304553251,-2.283677289096858,-4.577202556834544,-2.283677289096858,4
8,AMZN-LOW,2021-02-24,2021-02-26,2,timeout,1.1249544491103192,1.058840055935557,0.06244039673805647,0.007935620084081739,1481.8296356201172,True,186731.42362152098,1.3869672699189761,0.8290459779172047,-2.279866676034084,-2.279866676034084,-1.5237403461632595,4
2,AXP-GS,2021-03-05,2021-03-10,5,signal,1.408987850869444,0.9648165963944363,0.4603685883253833,0.05023618638780382,9042.513549804688,True,180000.0,0.8464201540242534,0.9190780561035927,-2.458992299501884,-2.7003817238943153,-0.8098125434818221,5
1,COST-WMT,2021-03-05,2021-03-22,17,signal,0.9436173824615399,1.041256975187483,0.09377088946593859,0.021596678755018445,3887.4021759033203,True,180000.0,1.705573346042809,0.7596883456634169,2.2833318641652163,2.8600888400224846,0.802164150410326,5
3,GS-JPM,2021-03-26,2021-04-12,17,max_exit_on_loss,0.702087647575456,0.9318154547956973,0.24653788047613953,-0.0019360336843863308,-352.99195861816406,False,182327.38483062744,1.1960566420428662,0.8619376127951653,2.2814641057760094,2.755343774676729,1.0135234519120346,5
5,AXP-GS,2021-04-23,2021-04-26,3,signal,1.087656735892966,0.9648165963944363,0.1273196791572502,0.032945201215539434,5987.442108154297,True,181739.4305465698,1.0999760666769758,0.8728181032502155,2.2291351225427825,2.2291351225427825,0.2557659765368116,5
4,GS-JPM,2021-04-14,2021-04-29,15,max_exit_on_loss,0.7760283223029496,0.9318154547956973,0.16718668024979727,-0.014407285956749482,-2625.9273529052734,False,182263.84627807618,1.3123613185067036,0.8611534681119059,-2.493041548407622,-4.254338739331584,-2.493041548407622,5
6,MA-V,2021-04-29,2021-05-14,15,max_exit_on_loss,0.6793800516979109,0.8525499989020133,0.20311998994443192,-0.0031679003722138084,-579.3105163574219,False,182868.918934021,1.7105551013572802,0.8039584787702116,2.575623591233553,2.973775340666305,1.3406193190276312,5
7,GS-JPM,2021-05-13,2021-05-26,13,signal,0.7764190684988719,0.9318154547956973,0.16676734164158763,0.01652651407212863,3024.129898071289,True,182986.55632232665,1.2535519996450584,0.8559923477236775,2.3195352836303167,2.3195352836303167,0.6509341926191493,5
8,CAT-GE,2021-05-27,2021-05-28,1,timeout,0.7662657711232422,0.8464501219570852,0.09473015450508533,0.019569156316211346,3587.2022094726562,True,183308.98642272947,1.6828317012224705,0.7982739184927339,2.489986114196534,2.489986114196534,1.8277408994214108,5
2,COP-SLB,2021-06-02,2021-06-10,8,signal,0.8781029960866877,1.7750859114139375,0.5053180297131431,0.03221992657979329,5799.586784362793,True,180000.0,0.5173373942231303,0.9542953472691098,2.4804347706554237,3.52374131947251,0.9782106058132511,6
3,COP-EOG,2021-06-08,2021-06-14,6,stop_loss,1.2208501311906783,1.289117384382704,0.0529565841086811,-0.02571534456215658,-4640.645164489746,False,180462.10321128846,0.5019692580339131,0.9527951459305346,-2.3372567035271548,-5.841995307316786,-2.3372567035271548,6
1,EOG-SLB,2021-06-02,2021-06-15,13,signal,0.6860727160699106,1.3268147587529495,0.4829174822303465,0.03846516871982151,6923.730369567871,True,180000.0,1.0064208560276022,0.9073478767174614,2.6140226551859094,3.33796920301672,0.9649389135471124,6
4,MSFT-TXN,2021-06-18,2021-07-06,18,max_exit_on_loss,0.8331460584192687,0.5390869276604859,0.5454762778888596,-0.014039793119955197,-2547.5889892578125,False,181454.88095809935,1.2577609811986603,0.858412273203908,-2.355801118478316,-3.33756111873065,-1.1695025257533196,6
5,EOG-SLB,2021-07-06,2021-07-07,1,signal,1.073419985204442,1.3268147587529495,0.1909797670525379,0.01799245288498691,3256.567668914795,True,180996.31494003296,1.2051902526213556,0.8599138095837633,-2.2747650653833764,-2.2747650653833764,-0.9275093543949111,6
6,MSFT-TXN,2021-07-21,2021-07-22,1,signal,0.33128822335160635,0.5390869276604859,0.3854641870294991,0.058714760924466605,10661.57290649414,True,181582.49712043762,1.586126003711591,0.8105914624019441,2.4400186451470955,2.4400186451470955,-1.6607440639688706,6
7,COP-SLB,2021-08-05,2021-08-09,4,signal,1.2923530088194284,1.7750859114139375,0.27194903609481647,0.014055253709003226,2579.1612663269043,True,183501.58024360656,0.3364373934807956,0.9684102685731906,-2.2689355713433517,-2.2689355713433517,-0.9366765895689847,6
8,COP-EOG,2021-08-05,2021-08-10,5,stop_loss,0.9823488544785842,1.289117384382704,0.2379678791245348,-0.03770984865117204,-6919.816818237305,False,183501.58024360656,0.40561585272577644,0.9615166178613983,-2.276614421898414,-6.418321404444327,-2.276614421898414,6
9,EOG-SLB,2021-08-10,2021-08-25,15,max_exit_on_loss,1.273644622760851,1.3268147587529495,0.04007351865913227,-0.0010555281621753084,-192.86638259887695,False,182720.26224426267,1.5230977186730932,0.7966737520979075,2.2428981352553943,3.805112557111625,1.4754283025250234,6
2,AAPL-CSCO,2021-09-21,2021-09-23,2,signal,0.4543063078233615,1.2149978382396616,0.6260846780751651,0.015108413934683334,2719.5054321289062,True,179999.39926757812,0.49120538392824453,0.9512255801785656,-2.2204890526983534,-2.4924686822455713,-0.8260242057069551,7
1,DHR-TMO,2021-09-17,2021-10-04,17,max_exit_on_loss,0.7322360774040935,0.4677323104769444,0.5655024487349095,-0.011452709791395399,-2061.487762451172,False,180000.0,1.0584478361945127,0.9090991820718057,2.7923668466836435,3.9077771076449412,2.26669130336223,7
3,DIS-NFLX,2021-10-20,2021-10-21,1,guard_trip,0.1637301868170482,0.4947590862169946,0.6690708844400315,0.04406391965879703,7936.724609375,True,180118.44318054197,0.04462101402956952,0.9959521695154587,-2.2226086781329046,-2.2226086781329046,1.4110496050510666,7
4,AAPL-CSCO,2021-11-02,2021-11-05,3,signal,0.8401609937141663,1.2149978382396616,0.30850823987355747,0.017831901690561557,3237.3292121887207,True,181547.0536102295,0.9784544275908028,0.8907388054240317,2.2274429951710824,2.2274429951710824,0.6849537048382466,7
