A,B,joined_sh,joined_ret
core-12m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.4906509003227574,0.03354864182641655
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.4869948872271957,0.03039993635948792
sp500-2m/cross_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_bd7,0.47839596881569973,0.031564958792499855
sp500-12m/cross_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.47838624369472277,0.02476403690622688
sp500-12m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,0.4776490108549686,0.034219434188859844
sp500-12m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.4727376168310958,0.027643632057593813
core-2m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.47098993877121237,0.046959737987661135
core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.4708698464471304,0.03437011293631942
sp500-2m/cross_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.4630007429836853,0.0336632666821699
sp500-2m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,0.4616771265391512,0.04922320660738784
core-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.4601375375378914,0.030170665430215005
core-2m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.45886570994485903,0.0345864706477534
core-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.4581499327712626,0.03217587577425398
sp500-12m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,0.44863469319856736,0.02571258282697104
sp500-12m/cross_sector_slide1m_noscreen,core-2m/same_sector_slide3m_noscreen,0.44806656434889475,0.03016705603866292
sp500-12m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.4474728446992645,0.040138347061515714
sp500-12m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.4468588472306759,0.027222693947106212
sp500-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_bd7,0.44607205210406187,0.0269436702815093
